Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | CDU+CSU | SPD | FDP | Linke | Grüne | Piraten | AfD | FW | Other
INSA and YouGov | N/A | 2013-01-07 | 2013-01-07 | N | N/A | N/A | 1 | 39 | 28 | 4 | 7 | 14 | 3 | N/A | N/A | 5
Kantar | N/A | 2013-01-06 | 2013-01-06 | N | N/A | N/A | 1 | 40 | 27 | 4 | 8 | 14 | 4 | N/A | N/A | 3
Infratest | N/A | 2013-01-04 | 2013-01-04 | N | N/A | N/A | 1 | 41 | 29 | 4 | 6 | 12 | 4 | N/A | N/A | 4
Forsa | N/A | 2012-12-26 | 2012-12-26 | N | N/A | N/A | 1 | 41 | 27 | 4 | 8 | 13 | 3 | N/A | N/A | 4
Kantar | N/A | 2012-12-23 | 2012-12-23 | N | N/A | N/A | 1 | 40 | 28 | 4 | 8 | 13 | 4 | N/A | N/A | 3
Infratest | N/A | 2012-12-21 | 2012-12-21 | N | N/A | N/A | 1 | 40 | 30 | 4 | 7 | 13 | 3 | N/A | N/A | 3
Allensbach | N/A | 2012-12-19 | 2012-12-19 | N | N/A | N/A | 0.5 | 37.5 | 30.0 | 4.5 | 6.5 | 14.0 | 3.5 | N/A | N/A | 4.0
Forsa | N/A | 2012-12-19 | 2012-12-19 | N | N/A | N/A | 1 | 38 | 27 | 5 | 8 | 14 | 3 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-12-18 | 2012-12-18 | N | N/A | N/A | 1 | 36 | 29 | 5 | 7 | 13 | 4 | N/A | N/A | 6
GMS | N/A | 2012-12-17 | 2012-12-17 | N | N/A | N/A | 1 | 40 | 29 | 4 | 7 | 14 | 3 | N/A | N/A | 3
Kantar | N/A | 2012-12-16 | 2012-12-16 | N | N/A | N/A | 1 | 40 | 28 | 4 | 7 | 14 | 4 | N/A | N/A | 3
FGW | N/A | 2012-12-14 | 2012-12-14 | N | N/A | N/A | 1 | 40 | 30 | 4 | 7 | 13 | 3 | N/A | N/A | 3
Forsa | N/A | 2012-12-12 | 2012-12-12 | N | N/A | N/A | 1 | 38 | 27 | 4 | 8 | 14 | 4 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-12-11 | 2012-12-11 | N | N/A | N/A | 1 | 37 | 29 | 4 | 7 | 14 | 3 | N/A | N/A | 6
Kantar | N/A | 2012-12-09 | 2012-12-09 | N | N/A | N/A | 1 | 40 | 28 | 4 | 7 | 14 | 3 | N/A | N/A | 4
Infratest | N/A | 2012-12-06 | 2012-12-06 | N | N/A | N/A | 1 | 39 | 30 | 4 | 7 | 14 | 3 | N/A | N/A | 3
Forsa | N/A | 2012-12-05 | 2012-12-05 | N | N/A | N/A | 1 | 37 | 26 | 4 | 7 | 16 | 4 | N/A | N/A | 6
INSA and YouGov | N/A | 2012-12-04 | 2012-12-04 | N | N/A | N/A | 1 | 35 | 29 | 5 | 7 | 15 | 4 | N/A | N/A | 5
Kantar | N/A | 2012-12-02 | 2012-12-02 | N | N/A | N/A | 1 | 38 | 28 | 4 | 8 | 14 | 4 | N/A | N/A | 4
FGW | N/A | 2012-11-30 | 2012-11-30 | N | N/A | N/A | 1 | 38 | 29 | 4 | 7 | 14 | 4 | N/A | N/A | 4
Forsa | N/A | 2012-11-28 | 2012-11-28 | N | N/A | N/A | 1 | 37 | 26 | 4 | 8 | 16 | 4 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-11-27 | 2012-11-27 | N | N/A | N/A | 1 | 36 | 29 | 4 | 7 | 15 | 4 | N/A | N/A | 5
Kantar | N/A | 2012-11-25 | 2012-11-25 | N | N/A | N/A | 1 | 38 | 29 | 4 | 7 | 15 | 4 | N/A | N/A | 3
Infratest | N/A | 2012-11-23 | 2012-11-23 | N | N/A | N/A | 1 | 39 | 29 | 4 | 6 | 15 | 4 | N/A | N/A | 3
GMS | N/A | 2012-11-22 | 2012-11-22 | N | N/A | N/A | 1 | 37 | 26 | 4 | 8 | 16 | 4 | N/A | N/A | 5
Allensbach | N/A | 2012-11-21 | 2012-11-21 | N | N/A | N/A | 0.5 | 37.5 | 31.0 | 4.0 | 6.5 | 12.5 | 4.0 | N/A | N/A | 4.5
Forsa | N/A | 2012-11-21 | 2012-11-21 | N | N/A | N/A | 1 | 36 | 26 | 4 | 8 | 16 | 5 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-11-19 | 2012-11-19 | N | N/A | N/A | 1 | 38 | 29 | 4 | 7 | 14 | 4 | N/A | N/A | 4
Kantar | N/A | 2012-11-18 | 2012-11-18 | N | N/A | N/A | 1 | 39 | 28 | 4 | 7 | 13 | 5 | N/A | N/A | 4
FGW | N/A | 2012-11-16 | 2012-11-16 | N | N/A | N/A | 1 | 39 | 30 | 4 | 6 | 13 | 4 | N/A | N/A | 4
Forsa | N/A | 2012-11-14 | 2012-11-14 | N | N/A | N/A | 1 | 39 | 26 | 4 | 8 | 14 | 4 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-11-13 | 2012-11-13 | N | N/A | N/A | 1 | 38 | 30 | 5 | 6 | 14 | 4 | N/A | N/A | 3
Kantar | N/A | 2012-11-11 | 2012-11-11 | N | N/A | N/A | 1 | 38 | 30 | 4 | 7 | 12 | 5 | N/A | N/A | 4
Infratest | N/A | 2012-11-08 | 2012-11-08 | N | N/A | N/A | 1 | 40 | 30 | 4 | 6 | 14 | 4 | N/A | N/A | 2
Forsa | N/A | 2012-11-07 | 2012-11-07 | N | N/A | N/A | 1 | 37 | 26 | 3 | 8 | 15 | 5 | N/A | N/A | 6
INSA and YouGov | N/A | 2012-11-06 | 2012-11-06 | N | N/A | N/A | 1 | 38 | 30 | 4 | 6 | 14 | 3 | N/A | N/A | 5
Kantar | N/A | 2012-11-04 | 2012-11-04 | N | N/A | N/A | 1 | 38 | 29 | 4 | 8 | 13 | 4 | N/A | N/A | 4
Forsa | N/A | 2012-10-30 | 2012-10-30 | N | N/A | N/A | 1 | 38 | 26 | 3 | 8 | 15 | 5 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-10-30 | 2012-10-30 | N | N/A | N/A | 1 | 37 | 30 | 4 | 7 | 13 | 4 | N/A | N/A | 5
Kantar | N/A | 2012-10-28 | 2012-10-28 | N | N/A | N/A | 1 | 38 | 29 | 4 | 8 | 12 | 5 | N/A | N/A | 4
FGW | N/A | 2012-10-26 | 2012-10-26 | N | N/A | N/A | 1 | 39 | 29 | 4 | 6 | 13 | 4 | N/A | N/A | 5
Infratest | N/A | 2012-10-26 | 2012-10-26 | N | N/A | N/A | 1 | 38 | 30 | 4 | 7 | 13 | 5 | N/A | N/A | 3
GMS | N/A | 2012-10-25 | 2012-10-25 | N | N/A | N/A | 1 | 38 | 27 | 4 | 8 | 12 | 5 | N/A | N/A | 6
Forsa | N/A | 2012-10-24 | 2012-10-24 | N | N/A | N/A | 1 | 38 | 27 | 3 | 9 | 12 | 5 | N/A | N/A | 6
INSA and YouGov | N/A | 2012-10-23 | 2012-10-23 | N | N/A | N/A | 1 | 35 | 32 | 4 | 7 | 13 | 4 | N/A | N/A | 5
Kantar | N/A | 2012-10-21 | 2012-10-21 | N | N/A | N/A | 1 | 38 | 29 | 4 | 7 | 12 | 6 | N/A | N/A | 4
Allensbach | N/A | 2012-10-17 | 2012-10-17 | N | N/A | N/A | 0.5 | 35.5 | 31.0 | 4.5 | 6.0 | 14.0 | 5.0 | N/A | N/A | 4.0
Forsa | N/A | 2012-10-17 | 2012-10-17 | N | N/A | N/A | 1 | 37 | 29 | 4 | 8 | 11 | 5 | N/A | N/A | 6
INSA and YouGov | N/A | 2012-10-15 | 2012-10-15 | N | N/A | N/A | 1 | 36 | 31 | 4 | 7 | 12 | 4 | N/A | N/A | 6
Kantar | N/A | 2012-10-14 | 2012-10-14 | N | N/A | N/A | 1 | 38 | 30 | 4 | 8 | 11 | 5 | N/A | N/A | 4
FGW | N/A | 2012-10-11 | 2012-10-11 | N | N/A | N/A | 1 | 38 | 31 | 4 | 6 | 12 | 5 | N/A | N/A | 4
Forsa | N/A | 2012-10-10 | 2012-10-10 | N | N/A | N/A | 1 | 36 | 30 | 4 | 7 | 12 | 6 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-10-09 | 2012-10-09 | N | N/A | N/A | 1 | 36 | 30 | 5 | 7 | 11 | 5 | N/A | N/A | 6
Kantar | N/A | 2012-10-07 | 2012-10-07 | N | N/A | N/A | 1 | 37 | 28 | 5 | 8 | 12 | 6 | N/A | N/A | 4
Infratest | N/A | 2012-10-04 | 2012-10-04 | N | N/A | N/A | 1 | 39 | 31 | 4 | 7 | 11 | 4 | N/A | N/A | 4
Forsa | N/A | 2012-10-02 | 2012-10-02 | N | N/A | N/A | 1 | 37 | 27 | 4 | 8 | 12 | 7 | N/A | N/A | 5
Forsa | N/A | 2012-10-02 | 2012-10-02 | N | N/A | N/A | 1 | 35 | 29 | 4 | 8 | 12 | 7 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-10-02 | 2012-10-02 | N | N/A | N/A | 1 | 36 | 29 | 4 | 7 | 13 | 5 | N/A | N/A | 6
Kantar | N/A | 2012-09-30 | 2012-09-30 | N | N/A | N/A | 1 | 37 | 27 | 5 | 8 | 13 | 6 | N/A | N/A | 4
FGW | N/A | 2012-09-28 | 2012-09-28 | N | N/A | N/A | 1 | 38 | 29 | 4 | 6 | 13 | 6 | N/A | N/A | 4
Infratest | N/A | 2012-09-28 | 2012-09-28 | N | N/A | N/A | 1 | 37 | 30 | 4 | 7 | 12 | 6 | N/A | N/A | 4
Allensbach | N/A | 2012-09-26 | 2012-09-26 | N | N/A | N/A | 0.5 | 34.0 | 30.0 | 5.5 | 6.5 | 14.0 | 5.5 | N/A | N/A | 4.5
Forsa | N/A | 2012-09-26 | 2012-09-26 | N | N/A | N/A | 1 | 38 | 26 | 4 | 8 | 12 | 7 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-09-25 | 2012-09-25 | N | N/A | N/A | 1 | 36 | 30 | 5 | 6 | 14 | 5 | N/A | N/A | 4
Kantar | N/A | 2012-09-23 | 2012-09-23 | N | N/A | N/A | 1 | 37 | 27 | 5 | 8 | 13 | 6 | N/A | N/A | 4
GMS | N/A | 2012-09-21 | 2012-09-21 | N | N/A | N/A | 1 | 38 | 26 | 5 | 6 | 13 | 6 | N/A | N/A | 6
INSA and YouGov | N/A | 2012-09-20 | 2012-09-20 | N | N/A | N/A | 1 | 36 | 29 | 4 | 7 | 13 | 6 | N/A | N/A | 5
Forsa | N/A | 2012-09-19 | 2012-09-19 | N | N/A | N/A | 1 | 38 | 26 | 5 | 8 | 12 | 6 | N/A | N/A | 5
Kantar | N/A | 2012-09-16 | 2012-09-16 | N | N/A | N/A | 1 | 38 | 26 | 4 | 7 | 14 | 7 | N/A | N/A | 4
FGW | N/A | 2012-09-14 | 2012-09-14 | N | N/A | N/A | 1 | 36 | 30 | 4 | 6 | 13 | 6 | N/A | N/A | 5
Forsa | N/A | 2012-09-12 | 2012-09-12 | N | N/A | N/A | 1 | 39 | 26 | 4 | 8 | 13 | 6 | N/A | N/A | 4
INSA and YouGov | N/A | 2012-09-11 | 2012-09-11 | N | N/A | N/A | 1 | 37 | 28 | 4 | 6 | 14 | 6 | N/A | N/A | 5
Kantar | N/A | 2012-09-09 | 2012-09-09 | N | N/A | N/A | 1 | 36 | 28 | 4 | 7 | 14 | 7 | N/A | N/A | 4
Infratest | N/A | 2012-09-06 | 2012-09-06 | N | N/A | N/A | 1 | 37 | 30 | 4 | 6 | 13 | 6 | N/A | N/A | 4
Forsa | N/A | 2012-09-05 | 2012-09-05 | N | N/A | N/A | 1 | 39 | 26 | 4 | 7 | 13 | 7 | N/A | N/A | 4
INSA and YouGov | N/A | 2012-09-04 | 2012-09-04 | N | N/A | N/A | 1 | 36 | 29 | 4 | 6 | 14 | 6 | N/A | N/A | 5
Kantar | N/A | 2012-09-02 | 2012-09-02 | N | N/A | N/A | 1 | 36 | 28 | 5 | 7 | 13 | 7 | N/A | N/A | 4
Forsa | N/A | 2012-08-29 | 2012-08-29 | N | N/A | N/A | 1 | 39 | 26 | 5 | 7 | 12 | 7 | N/A | N/A | 4
INSA and YouGov | N/A | 2012-08-28 | 2012-08-28 | N | N/A | N/A | 1 | 35 | 29 | 4 | 6 | 15 | 6 | N/A | N/A | 5
Kantar | N/A | 2012-08-26 | 2012-08-26 | N | N/A | N/A | 1 | 36 | 28 | 4 | 7 | 14 | 7 | N/A | N/A | 4
FGW | N/A | 2012-08-24 | 2012-08-24 | N | N/A | N/A | 1 | 37 | 29 | 5 | 6 | 12 | 6 | N/A | N/A | 5
GMS | N/A | 2012-08-23 | 2012-08-23 | N | N/A | N/A | 1 | 36 | 28 | 5 | 6 | 13 | 7 | N/A | N/A | 5
Allensbach | N/A | 2012-08-22 | 2012-08-22 | N | N/A | N/A | 0.5 | 35.0 | 28.0 | 5.5 | 6.0 | 15.0 | 6.5 | N/A | N/A | 4.0
Forsa | N/A | 2012-08-22 | 2012-08-22 | N | N/A | N/A | 1 | 36 | 27 | 5 | 8 | 13 | 7 | N/A | N/A | 4
INSA and YouGov | N/A | 2012-08-21 | 2012-08-21 | N | N/A | N/A | 1 | 36 | 28 | 4 | 6 | 15 | 7 | N/A | N/A | 4
Kantar | N/A | 2012-08-19 | 2012-08-19 | N | N/A | N/A | 1 | 35 | 29 | 5 | 7 | 13 | 8 | N/A | N/A | 3
Infratest | N/A | 2012-08-17 | 2012-08-17 | N | N/A | N/A | 1 | 36 | 29 | 5 | 6 | 13 | 7 | N/A | N/A | 4
Forsa | N/A | 2012-08-15 | 2012-08-15 | N | N/A | N/A | 1 | 36 | 26 | 4 | 7 | 13 | 9 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-08-14 | 2012-08-14 | N | N/A | N/A | 1 | 35 | 30 | 4 | 6 | 14 | 6 | N/A | N/A | 5
Kantar | N/A | 2012-08-12 | 2012-08-12 | N | N/A | N/A | 1 | 36 | 28 | 4 | 7 | 14 | 8 | N/A | N/A | 3
Forsa | N/A | 2012-08-08 | 2012-08-08 | N | N/A | N/A | 1 | 36 | 26 | 5 | 6 | 13 | 9 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-08-07 | 2012-08-07 | N | N/A | N/A | 1 | 36 | 30 | 5 | 6 | 13 | 6 | N/A | N/A | 4
Kantar | N/A | 2012-08-05 | 2012-08-05 | N | N/A | N/A | 1 | 36 | 29 | 5 | 7 | 13 | 7 | N/A | N/A | 3
INSA and YouGov | N/A | 2012-08-02 | 2012-08-02 | N | N/A | N/A | 1 | 35 | 31 | 4 | 6 | 15 | 6 | N/A | N/A | 3
Forsa | N/A | 2012-08-01 | 2012-08-01 | N | N/A | N/A | 1 | 36 | 27 | 5 | 6 | 12 | 9 | N/A | N/A | 5
Infratest | N/A | 2012-08-01 | 2012-08-01 | N | N/A | N/A | 1 | 36 | 28 | 5 | 6 | 13 | 8 | N/A | N/A | 4
Kantar | N/A | 2012-07-29 | 2012-07-29 | N | N/A | N/A | 1 | 36 | 29 | 4 | 7 | 12 | 8 | N/A | N/A | 4
Forsa | N/A | 2012-07-25 | 2012-07-25 | N | N/A | N/A | 1 | 36 | 27 | 4 | 7 | 12 | 9 | N/A | N/A | 5
GMS | N/A | 2012-07-24 | 2012-07-24 | N | N/A | N/A | 1 | 35 | 29 | 4 | 6 | 13 | 8 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-07-24 | 2012-07-24 | N | N/A | N/A | 1 | 35 | 30 | 5 | 6 | 15 | 6 | N/A | N/A | 3
Kantar | N/A | 2012-07-22 | 2012-07-22 | N | N/A | N/A | 1 | 35 | 29 | 5 | 6 | 13 | 8 | N/A | N/A | 4
Infratest | N/A | 2012-07-20 | 2012-07-20 | N | N/A | N/A | 1 | 35 | 30 | 4 | 6 | 14 | 8 | N/A | N/A | 3
Allensbach | N/A | 2012-07-18 | 2012-07-18 | N | N/A | N/A | 0.5 | 36.0 | 27.0 | 6.0 | 6.0 | 14.0 | 6.5 | N/A | N/A | 4.5
Forsa | N/A | 2012-07-18 | 2012-07-18 | N | N/A | N/A | 1 | 36 | 26 | 4 | 6 | 13 | 10 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-07-17 | 2012-07-17 | N | N/A | N/A | 1 | 36 | 29 | 4 | 6 | 14 | 7 | N/A | N/A | 4
Kantar | N/A | 2012-07-15 | 2012-07-15 | N | N/A | N/A | 1 | 34 | 29 | 5 | 7 | 13 | 9 | N/A | N/A | 3
FGW | N/A | 2012-07-13 | 2012-07-13 | N | N/A | N/A | 1 | 36 | 30 | 4 | 6 | 13 | 7 | N/A | N/A | 4
Forsa | N/A | 2012-07-11 | 2012-07-11 | N | N/A | N/A | 1 | 36 | 26 | 4 | 7 | 13 | 9 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-07-10 | 2012-07-10 | N | N/A | N/A | 1 | 35 | 28 | 4 | 6 | 14 | 8 | N/A | N/A | 5
Kantar | N/A | 2012-07-08 | 2012-07-08 | N | N/A | N/A | 1 | 34 | 29 | 5 | 6 | 14 | 9 | N/A | N/A | 3
Infratest | N/A | 2012-07-05 | 2012-07-05 | N | N/A | N/A | 1 | 35 | 30 | 4 | 7 | 14 | 7 | N/A | N/A | 3
Forsa | N/A | 2012-07-04 | 2012-07-04 | N | N/A | N/A | 1 | 36 | 27 | 3 | 7 | 12 | 9 | N/A | N/A | 6
INSA and YouGov | N/A | 2012-07-03 | 2012-07-03 | N | N/A | N/A | 1 | 35 | 29 | 4 | 5 | 14 | 8 | N/A | N/A | 5
Kantar | N/A | 2012-07-01 | 2012-07-01 | N | N/A | N/A | 1 | 34 | 31 | 5 | 6 | 13 | 8 | N/A | N/A | 3
Forsa | N/A | 2012-06-27 | 2012-06-27 | N | N/A | N/A | 1 | 34 | 27 | 4 | 7 | 13 | 10 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-06-25 | 2012-06-25 | N | N/A | N/A | 1 | 34 | 31 | 5 | 6 | 14 | 7 | N/A | N/A | 4
Kantar | N/A | 2012-06-24 | 2012-06-24 | N | N/A | N/A | 1 | 34 | 30 | 5 | 6 | 13 | 9 | N/A | N/A | 3
GMS | N/A | 2012-06-22 | 2012-06-22 | N | N/A | N/A | 1 | 34 | 28 | 6 | 5 | 13 | 10 | N/A | N/A | 4
Infratest | N/A | 2012-06-22 | 2012-06-22 | N | N/A | N/A | 1 | 34 | 31 | 4 | 6 | 14 | 8 | N/A | N/A | 3
Allensbach | N/A | 2012-06-20 | 2012-06-20 | N | N/A | N/A | 0.5 | 34.0 | 28.0 | 5.5 | 5.0 | 15.5 | 7.5 | N/A | N/A | 4.5
Forsa | N/A | 2012-06-20 | 2012-06-20 | N | N/A | N/A | 1 | 33 | 27 | 5 | 7 | 13 | 10 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-06-19 | 2012-06-19 | N | N/A | N/A | 1 | 35 | 31 | 5 | 5 | 14 | 7 | N/A | N/A | 3
Kantar | N/A | 2012-06-17 | 2012-06-17 | N | N/A | N/A | 1 | 33 | 29 | 6 | 7 | 12 | 9 | N/A | N/A | 4
FGW | N/A | 2012-06-15 | 2012-06-15 | N | N/A | N/A | 1 | 34 | 32 | 5 | 5 | 13 | 7 | N/A | N/A | 4
Forsa | N/A | 2012-06-13 | 2012-06-13 | N | N/A | N/A | 1 | 32 | 27 | 5 | 7 | 14 | 10 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-06-12 | 2012-06-12 | N | N/A | N/A | 1 | 35 | 31 | 5 | 5 | 13 | 7 | N/A | N/A | 4
Kantar | N/A | 2012-06-10 | 2012-06-10 | N | N/A | N/A | 1 | 32 | 30 | 5 | 6 | 13 | 10 | N/A | N/A | 4
Infratest | N/A | 2012-06-06 | 2012-06-06 | N | N/A | N/A | 1 | 34 | 30 | 5 | 5 | 13 | 9 | N/A | N/A | 4
Forsa | N/A | 2012-06-05 | 2012-06-05 | N | N/A | N/A | 1 | 33 | 27 | 4 | 6 | 14 | 11 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-06-05 | 2012-06-05 | N | N/A | N/A | 1 | 34 | 32 | 5 | 4 | 14 | 7 | N/A | N/A | 4
Kantar | N/A | 2012-06-03 | 2012-06-03 | N | N/A | N/A | 1 | 33 | 29 | 5 | 6 | 12 | 11 | N/A | N/A | 4
Forsa | N/A | 2012-05-30 | 2012-05-30 | N | N/A | N/A | 1 | 32 | 27 | 5 | 6 | 13 | 12 | N/A | N/A | 5
INSA and YouGov | N/A | 2012-05-29 | 2012-05-29 | N | N/A | N/A | 1 | 33 | 31 | 5 | 5 | 14 | 8 | N/A | N/A | 4
FGW | N/A | 2012-05-25 | 2012-05-25 | N | N/A | N/A | 1 | 36 | 31 | 4 | 5 | 14 | 7 | N/A | N/A | 3
Infratest | N/A | 2012-05-25 | 2012-05-25 | N | N/A | N/A | 1 | 33 | 29 | 5 | 6 | 13 | 11 | N/A | N/A | 3
Kantar | N/A | 2012-05-24 | 2012-05-24 | N | N/A | N/A | 1 | 32 | 30 | 6 | 6 | 12 | 11 | N/A | N/A | 3
Allensbach | N/A | 2012-05-23 | 2012-05-23 | N | N/A | N/A | 0.5 | 35.5 | 30.0 | 4.5 | 5.5 | 14.0 | 7.0 | N/A | N/A | 3.5
Forsa | N/A | 2012-05-23 | 2012-05-23 | N | N/A | N/A | 1 | 31 | 27 | 6 | 6 | 13 | 13 | N/A | N/A | 4
GMS | N/A | 2012-05-23 | 2012-05-23 | N | N/A | N/A | 1 | 33 | 27 | 6 | 6 | 13 | 12 | N/A | N/A | 3
INSA and YouGov | N/A | 2012-05-22 | 2012-05-22 | N | N/A | N/A | 1 | 33 | 32 | 4 | 6 | 14 | 8 | N/A | N/A | 3
Kantar | N/A | 2012-05-20 | 2012-05-20 | N | N/A | N/A | 1 | 35 | 27 | 5 | 6 | 12 | 11 | N/A | N/A | 4
Infratest | N/A | 2012-05-18 | 2012-05-18 | N | N/A | N/A | 1 | 33 | 30 | 5 | 5 | 13 | 11 | N/A | N/A | 3
FGW | N/A | 2012-05-16 | 2012-05-16 | N | N/A | N/A | 1 | 35 | 30 | 4 | 5 | 13 | 9 | N/A | N/A | 4
Forsa | N/A | 2012-05-15 | 2012-05-15 | N | N/A | N/A | 1 | 35 | 26 | 5 | 6 | 13 | 12 | N/A | N/A | 3
INSA and YouGov | N/A | 2012-05-15 | 2012-05-15 | N | N/A | N/A | 1 | 34 | 29 | 5 | 6 | 14 | 9 | N/A | N/A | 3
Kantar | N/A | 2012-05-12 | 2012-05-12 | N | N/A | N/A | 1 | 34 | 27 | 4 | 7 | 13 | 11 | N/A | N/A | 4
Forsa | N/A | 2012-05-09 | 2012-05-09 | N | N/A | N/A | 1 | 36 | 26 | 4 | 7 | 13 | 11 | N/A | N/A | 3
INSA and YouGov | N/A | 2012-05-09 | 2012-05-09 | N | N/A | N/A | 1 | 35 | 27 | 5 | 6 | 15 | 8 | N/A | N/A | 4
Kantar | N/A | 2012-05-06 | 2012-05-06 | N | N/A | N/A | 1 | 34 | 27 | 5 | 7 | 13 | 11 | N/A | N/A | 3
Infratest | N/A | 2012-05-03 | 2012-05-03 | N | N/A | N/A | 1 | 34 | 28 | 4 | 6 | 14 | 11 | N/A | N/A | 3
Forsa | N/A | 2012-05-02 | 2012-05-02 | N | N/A | N/A | 1 | 36 | 25 | 4 | 8 | 12 | 11 | N/A | N/A | 4
INSA and YouGov | N/A | 2012-05-01 | 2012-05-01 | N | N/A | N/A | 1 | 36 | 27 | 4 | 7 | 13 | 9 | N/A | N/A | 4
Kantar | N/A | 2012-04-29 | 2012-04-29 | N | N/A | N/A | 1 | 35 | 26 | 5 | 7 | 13 | 11 | N/A | N/A | 3
FGW | N/A | 2012-04-27 | 2012-04-27 | N | N/A | N/A | 1 | 35 | 29 | 3 | 6 | 14 | 9 | N/A | N/A | 4
Forsa | N/A | 2012-04-25 | 2012-04-25 | N | N/A | N/A | 1 | 35 | 24 | 5 | 7 | 12 | 13 | N/A | N/A | 4
GMS | N/A | 2012-04-23 | 2012-04-23 | N | N/A | N/A | 1 | 35 | 26 | 5 | 6 | 13 | 12 | N/A | N/A | 3
INSA and YouGov | N/A | 2012-04-23 | 2012-04-23 | N | N/A | N/A | 1 | 35 | 26 | 4 | 6 | 15 | 10 | N/A | N/A | 4
Kantar | N/A | 2012-04-22 | 2012-04-22 | N | N/A | N/A | 1 | 34 | 27 | 4 | 7 | 13 | 12 | N/A | N/A | 3
Allensbach | N/A | 2012-04-18 | 2012-04-18 | N | N/A | N/A | 0.5 | 34.5 | 28.0 | 3.5 | 7.0 | 14.0 | 10.0 | N/A | N/A | 3.0
Forsa | N/A | 2012-04-18 | 2012-04-18 | N | N/A | N/A | 1 | 35 | 25 | 5 | 7 | 12 | 13 | N/A | N/A | 3
INSA and YouGov | N/A | 2012-04-16 | 2012-04-16 | N | N/A | N/A | 1 | 36 | 27 | 4 | 7 | 13 | 9 | N/A | N/A | 4
Kantar | N/A | 2012-04-15 | 2012-04-15 | N | N/A | N/A | 1 | 35 | 26 | 4 | 7 | 12 | 12 | N/A | N/A | 4
Infratest | N/A | 2012-04-13 | 2012-04-13 | N | N/A | N/A | 1 | 35 | 27 | 3 | 6 | 14 | 11 | N/A | N/A | 4
INSA and YouGov | N/A | 2012-04-11 | 2012-04-11 | N | N/A | N/A | 1 | 35 | 28 | 4 | 7 | 13 | 9 | N/A | N/A | 4
Forsa | N/A | 2012-04-09 | 2012-04-09 | N | N/A | N/A | 1 | 36 | 24 | 5 | 8 | 11 | 13 | N/A | N/A | 3
Kantar | N/A | 2012-04-08 | 2012-04-08 | N | N/A | N/A | 1 | 36 | 26 | 4 | 7 | 13 | 10 | N/A | N/A | 4
Infratest | N/A | 2012-04-04 | 2012-04-04 | N | N/A | N/A | 1 | 35 | 27 | 3 | 7 | 14 | 10 | N/A | N/A | 4
INSA and YouGov | N/A | 2012-04-03 | 2012-04-03 | N | N/A | N/A | 1 | 36 | 29 | 4 | 6 | 14 | 8 | N/A | N/A | 3
Forsa | N/A | 2012-04-01 | 2012-04-01 | N | N/A | N/A | 1 | 35 | 25 | 3 | 9 | 13 | 12 | N/A | N/A | 3
Kantar | N/A | 2012-04-01 | 2012-04-01 | N | N/A | N/A | 1 | 36 | 27 | 4 | 7 | 13 | 9 | N/A | N/A | 4
FGW | N/A | 2012-03-30 | 2012-03-30 | N | N/A | N/A | 1 | 36 | 29 | 3 | 7 | 14 | 8 | N/A | N/A | 3
Forsa | N/A | 2012-03-28 | 2012-03-28 | N | N/A | N/A | 1 | 36 | 26 | 4 | 9 | 14 | 7 | N/A | N/A | 4
INSA and YouGov | N/A | 2012-03-27 | 2012-03-27 | N | N/A | N/A | 1 | 36 | 29 | 4 | 7 | 15 | 6 | N/A | N/A | 3
Kantar | N/A | 2012-03-25 | 2012-03-25 | N | N/A | N/A | 1 | 35 | 28 | 4 | 7 | 15 | 7 | N/A | N/A | 4
GMS | N/A | 2012-03-22 | 2012-03-22 | N | N/A | N/A | 1 | 37 | 27 | 4 | 8 | 14 | 6 | N/A | N/A | 4
Allensbach | N/A | 2012-03-21 | 2012-03-21 | N | N/A | N/A | 0.5 | 35.0 | 30.0 | 3.5 | 7.0 | 16.0 | 5.0 | N/A | N/A | 3.5
Forsa | N/A | 2012-03-21 | 2012-03-21 | N | N/A | N/A | 1 | 36 | 26 | 3 | 9 | 15 | 6 | N/A | N/A | 5
Kantar | N/A | 2012-03-18 | 2012-03-18 | N | N/A | N/A | 1 | 35 | 27 | 4 | 8 | 14 | 8 | N/A | N/A | 4
Infratest | N/A | 2012-03-16 | 2012-03-16 | N | N/A | N/A | 1 | 37 | 30 | 3 | 7 | 13 | 6 | N/A | N/A | 4
