Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Ensemble | RN | LFI | LR | PS | DLF | LÉ | UDI | Agir | PCF | LP | UPR | NPA | G·s | RES | LO | GJ | REC | Other
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-03-10 | 2019-03-14 | E | 1401 | N/A | 0.5 | 24 | 21 | 7.5 | 13.5 | 5.5 | 4.5 | 8.5 | N/A | N/A | 2 | 0.5 | 1 | 1 | 2.5 | 1 | 0.5 | 4 | N/A | 1.5
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-03-09 | 2019-03-13 | E | 1384 | N/A | 0.5 | 24 | 21.5 | 7.5 | 13 | 5.5 | 4.5 | 8.5 | N/A | N/A | 2 | 0.5 | 1 | 1 | 2.5 | 1 | 0.5 | 4 | N/A | 1.5
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-03-08 | 2019-03-12 | E | 1378 | N/A | 0.5 | 24.5 | 21.5 | 7.5 | 12.5 | 5.5 | 5 | 8 | N/A | N/A | 2 | 1 | 1 | 1 | 2.5 | 1.5 | 0.5 | 3.5 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-03-07 | 2019-03-11 | E | 1371 | N/A | 0.5 | 25 | 21.5 | 7 | 12.5 | 5.5 | 5 | 8 | N/A | N/A | 2 | 1 | 1 | 1 | 3 | 1.5 | 0.5 | 3 | N/A | 1
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-03-08 | 2019-03-09 | E | 1090 | N/A | 1 | 22 | 21 | 9 | 14 | 5 | 5 | 8 | N/A | N/A | 2 | 2 | 1 | 1 | 3 | 1 | 2 | N/A | N/A | 3
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-03-05 | 2019-03-08 | E | 1386 | N/A | 0.5 | 24.5 | 22 | 7 | 13 | 5 | 5 | 7.5 | N/A | N/A | 2 | 0.5 | 1.5 | 1 | 2.5 | 1.5 | 0.5 | 3 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-03-04 | 2019-03-07 | E | 1381 | N/A | 0.5 | 24 | 22 | 7 | 13 | 5 | 5.5 | 7.5 | N/A | N/A | 2.5 | 0.5 | 1.5 | 1 | 2 | 1 | 0.5 | 3 | N/A | 1
ELABE | BFMTV | 2019-02-25 | 2019-02-27 | E | 1201 | N/A | 0.5 | 22 | 22 | 8 | 13 | 5 | 5.5 | 10 | N/A | N/A | 2.5 | 1 | 1 | 1 | 3 | N/A | N/A | N/A | N/A | 4
OpinionWay–Tilder | Les Echos and Radio Classique | 2019-02-20 | 2019-02-27 | E | 2218 | N/A | 1 | 22 | 22 | 7 | 14 | 6 | 5 | 6 | N/A | N/A | 2 | 1 | 1 | N/A | 4 | N/A | 2 | N/A | N/A | 6
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-02-22 | 2019-02-23 | E | 1064 | N/A | 1 | 22 | 20 | 8 | 12 | 6 | 6 | 8 | N/A | N/A | 2 | 1 | 1 | 2 | 4 | 1 | 1 | N/A | N/A | 4
Ifop | SWG | 2019-02-20 | 2019-02-21 | E | 1004 | N/A | 0.5 | 22.0 | 23.0 | 6.5 | 10.0 | 5.0 | 6.5 | 8.5 | N/A | N/A | N/A | N/A | N/A | N/A | 4.0 | N/A | N/A | N/A | N/A | 11.0
BVA | La Tribune and RTL | 2019-02-20 | 2019-02-21 | E | 929 | N/A | 0.5 | 25 | 19 | 7.5 | 10 | 5 | 6 | 9 | N/A | N/A | 2 | 1 | 0.5 | 1 | 3 | 1.5 | 1 | 4 | N/A | 2.5
Ipsos | Le Monde | 2019-02-15 | 2019-02-21 | E | 10002 | 42.0 | 0.5 | 23 | 21 | 8.5 | 12 | 5.5 | 6.5 | 8.5 | N/A | N/A | 2 | 1 | 0.5 | 1 | 5.5 | 2 | 0.5 | N/A | N/A | N/A
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-02-13 | 2019-02-15 | E | 1367 | N/A | 0.5 | 24 | 20 | 7.5 | 10 | 6 | 6 | 9 | N/A | N/A | 3 | 1.5 | 0.5 | 1 | 3.5 | 2 | 1 | N/A | N/A | 3
OpinionWay–Tilder | Les Echos and Radio Classique | 2019-01-17 | 2019-01-25 | E | 1810 | N/A | 1 | 20 | 22 | 8 | 12 | 6 | 7 | 8 | N/A | N/A | 2 | 1 | N/A | N/A | 4 | N/A | 1 | N/A | N/A | 6
ELABE | BFMTV | 2019-01-22 | 2019-01-23 | E | 1000 | N/A | 0.5 | 23.5 | 20.5 | 9.5 | 12.5 | 6 | 5 | 9 | N/A | N/A | 2 | 1.5 | 1 | 0.5 | 2 | N/A | N/A | N/A | N/A | 4
Ifop-Fiducial | Sud Radio and Valeurs Actuelles | 2019-01-08 | 2019-01-09 | E | 934 | N/A | 0.5 | 23 | 21 | 9.5 | 10 | 4 | 7.5 | 6.5 | N/A | N/A | 2.5 | 1.5 | 0.5 | 1.5 | 2.5 | 3 | N/A | N/A | N/A | 3.5
Odoxa | France Info | 2018-12-19 | 2018-12-20 | E | 596 | N/A | 0.5 | 19 | 24 | 11.5 | 8 | 7 | 7 | 6.5 | N/A | N/A | 2 | 1 | 1 | 2.5 | 3 | 3 | N/A | N/A | N/A | 2
Ifop | L’Opinion | 2018-12-07 | 2018-12-10 | E | 938 | N/A | 0.5 | 18 | 24 | 9 | 11 | 4.5 | 8 | 8 | N/A | N/A | 2.5 | 1 | 0.5 | 1.5 | 3.5 | 2.5 | N/A | N/A | N/A | 3
BVA | Presse régionale | 2018-11-26 | 2018-12-06 | E | 2478 | N/A | 1 | 20 | 21 | 10 | 12 | 5 | 7 | 7 | N/A | N/A | 2 | 1 | 1 | 1 | 5 | 2 | N/A | N/A | N/A | 3
Ifop | Place publique | 2018-12-03 | 2018-12-04 | E | 944 | N/A | 0.5 | 16 | 24 | 11.5 | 12.5 | 11.5 | 8 | 4 | N/A | N/A | N/A | 0.5 | 1 | 1.5 | N/A | 1.5 | N/A | N/A | N/A | 3.5
Ifop | N/A | 2018-11-09 | 2018-11-12 | E | 945 | N/A | 1 | 19 | 22 | 10 | 13 | 6 | 6 | 7 | N/A | N/A | 2 | 1 | 1 | 1 | 3 | 2 | N/A | N/A | N/A | 3
ELABE | BFMTV | 2018-11-06 | 2018-11-07 | E | 1002 | N/A | 0.5 | 19.5 | 20 | 11 | 15 | 7 | 6.5 | 7 | N/A | N/A | 2.5 | 1 | 0.5 | 0.5 | 2.5 | N/A | N/A | N/A | N/A | 3
Ifop | La Lettre de l’Expansion | 2018-10-30 | 2018-10-31 | E | 905 | N/A | 0.5 | 19 | 21 | 11 | 13 | 7.5 | 7 | 7 | N/A | N/A | 2 | 1 | 1 | 2 | 2.5 | N/A | N/A | N/A | N/A | 3
Odoxa | France Info and Le Figaro | 2018-09-12 | 2018-09-13 | E | 907 | N/A | 0.5 | 21.5 | 21 | 12.5 | 14 | 4.5 | 6 | 5 | N/A | N/A | 1.5 | 1.5 | 1 | 1 | 4 | 1 | N/A | N/A | N/A | 2.5
Ifop-Fiducial | Paris Match and Sud Radio | 2018-08-30 | 2018-08-31 | E | 1403 | N/A | 0.5 | 20 | 17 | 14 | 15 | 6 | 6.5 | 7.5 | N/A | N/A | 2 | 1 | 0.5 | 2 | 3 | N/A | N/A | N/A | N/A | 3
Ipsos | Le Monde | 2018-06-27 | 2018-07-02 | E | 998 | N/A | 1 | 26 | 18 | 13 | 15 | 4 | 7 | 4 | N/A | N/A | 1 | 1 | 1 | 1 | 4 | 1 | 1 | N/A | N/A | N/A
Ifop-Fiducial | CNews and Sud Radio | 2018-06-25 | 2018-06-27 | E | 1374 | N/A | 0.5 | 23 | 19 | 11 | 15 | 6 | 6 | 6 | N/A | N/A | 2.5 | 1 | 1 | 1 | 3 | N/A | N/A | N/A | N/A | 3
ELABE | BFMTV | 2018-05-29 | 2018-05-30 | E | 1004 | N/A | 0.5 | 24 | 19.5 | 10 | 15 | 6 | 5.5 | 8 | N/A | N/A | 1 | 1.5 | 1 | 1 | 1.5 | N/A | N/A | N/A | N/A | 4
Harris Interactive | LCP – Assemblée nationale | 2018-05-22 | 2018-05-23 | E | 1673 | N/A | 1 | 28 | 15 | 12 | 13 | 8 | 7 | 4 | N/A | N/A | 2 | 1 | 1 | 1 | 2 | 1 | N/A | N/A | N/A | 3
Ifop | Valeurs Actuelles | 2018-05-07 | 2018-05-09 | E | 920 | N/A | 1 | 27 | 17 | 13 | 13 | 8 | 6 | 4 | N/A | N/A | 2 | 1 | 1 | 2 | N/A | N/A | N/A | N/A | N/A | 3
Ifop | Le Figaro | 2017-11-29 | 2017-12-01 | E | 1007 | N/A | 0.5 | 26 | 17 | 14 | 12 | 8 | 6 | 4 | N/A | N/A | 2 | 2 | 1.5 | 1 | N/A | N/A | N/A | N/A | N/A | 3
