Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | VVD | D66 | PVV | CDA | GL | SP | PvdA | PvdD | CU | P50+ | SGP | FVD | DENK | PPNL | PvdT | CO | JA21 | BIJ1 | Volt | BBB | Splinter | BVNL | NSC | Other
Peil.nl | N/A | 2019-08-26 | 2019-08-31 | N | 3000 | N/A | 1 | 18 | 7 | 9 | 11 | 10 | 5 | 13 | 5 | 4 | 4 | 1 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-08-19 | 2019-08-24 | N | 3000 | N/A | 1 | 18 | 7 | 9 | 11 | 10 | 5 | 13 | 5 | 4 | 4 | 1 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-07-29 | 2019-08-04 | N | 3000 | N/A | 1 | 18 | 7 | 7 | 11 | 10 | 5 | 13 | 5 | 4 | 3 | 1 | 13 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-07-29 | 2019-07-29 | N | 3000 | N/A | 1 | 18 | 7 | 7 | 11 | 10 | 5 | 13 | 5 | 4 | 3 | 1 | 13 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | EenVandaag | 2019-07-26 | 2019-07-29 | N | 1028 | N/A | 0.1 | 20.2 | 8.3 | 7.0 | 10.0 | 10.2 | 5.5 | 8.9 | 3.9 | 4.5 | 3.8 | 2.2 | 12.0 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
I&O Research | N/A | 2019-07-05 | 2019-07-09 | N | 2280 | N/A | 1 | 19 | 7 | 6 | 10 | 13 | 5 | 10 | 4 | 4 | 3 | 2 | 15 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2019-07-01 | 2019-07-07 | N | 3000 | N/A | 1 | 17 | 6 | 6 | 10 | 10 | 5 | 13 | 5 | 5 | 3 | 1 | 15 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-06-24 | 2019-06-30 | N | 3000 | N/A | 1 | 17 | 7 | 6 | 10 | 10 | 5 | 13 | 5 | 5 | 3 | 1 | 15 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | EenVandaag | 2019-06-21 | 2019-06-24 | N | 1028 | N/A | 0.1 | 20.1 | 7.6 | 7.1 | 8.9 | 11.3 | 5.7 | 9.1 | 4.1 | 4.0 | 4.0 | 2.1 | 13.3 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0
Peil.nl | N/A | 2019-06-17 | 2019-06-23 | N | 3000 | N/A | 1 | 18 | 7 | 6 | 10 | 9 | 5 | 13 | 5 | 5 | 3 | 1 | 14 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-06-10 | 2019-06-16 | N | 3000 | N/A | 1 | 18 | 7 | 6 | 10 | 9 | 5 | 13 | 5 | 5 | 3 | 1 | 14 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-06-03 | 2019-06-09 | N | 3000 | N/A | 1 | 18 | 7 | 5 | 10 | 9 | 5 | 12 | 5 | 5 | 3 | 1 | 15 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-05-27 | 2019-06-02 | N | 3000 | N/A | 1 | 18 | 7 | 5 | 10 | 9 | 5 | 12 | 5 | 5 | 3 | 1 | 15 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-05-20 | 2019-05-26 | N | 3000 | N/A | 1 | 17 | 7 | 5 | 10 | 11 | 5 | 11 | 5 | 5 | 3 | 1 | 16 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | N/A | 2019-05-21 | 2019-05-21 | N | N/A | N/A | 0.1 | 18.7 | 8.6 | 8.2 | 9.9 | 10.6 | 6.0 | 7.0 | 3.8 | 4.0 | 4.1 | 2.3 | 14.0 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
Peil.nl | N/A | 2019-05-13 | 2019-05-19 | E | 3000 | N/A | 0.5 | 15 | 7.5 | 4 | 12.5 | 8 | 4 | 13 | 4.5 | 8 | 3 | N/A | 15 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
Peil.nl | N/A | 2019-05-13 | 2019-05-19 | N | 3000 | N/A | 1 | 17 | 7 | 5 | 10 | 10 | 5 | 10 | 5 | 5 | 3 | 1 | 18 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
I&O Research | N/A | 2019-05-09 | 2019-05-14 | E | 1659 | N/A | 0.1 | 15.5 | 7.1 | 8.5 | 9.6 | 12.1 | 4.7 | 11.8 | 3.5 | 6.6 | 3.3 | N/A | 12.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
I&O Research | N/A | 2019-05-09 | 2019-05-14 | N | 1659 | N/A | 1 | 17 | 7 | 9 | 9 | 12 | 7 | 8 | 4 | 5 | 3 | 3 | 15 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | EenVandaag | 2019-05-12 | 2019-05-13 | E | 1015 | N/A | 0.1 | 16.8 | 8.9 | 6.2 | 11.2 | 9.7 | 4.4 | 11.1 | 3.7 | 5.6 | 3.3 | N/A | 15.5 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2019-05-06 | 2019-05-12 | N | 3000 | N/A | 1 | 16 | 7 | 6 | 10 | 11 | 5 | 10 | 5 | 5 | 3 | 1 | 17 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-04-29 | 2019-05-05 | N | 3000 | N/A | 1 | 15 | 7 | 6 | 9 | 11 | 6 | 9 | 5 | 5 | 3 | 1 | 18 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | EenVandaag | 2019-04-26 | 2019-04-29 | N | 1048 | N/A | 0.1 | 17.3 | 7.4 | 9.5 | 9.0 | 9.0 | 6.4 | 6.7 | 5.1 | 4.3 | 3.8 | 2.5 | 16.5 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.2
Ipsos | EenVandaag | 2019-04-26 | 2019-04-29 | E | 1048 | N/A | 0.1 | 18.1 | 6.5 | 9.0 | 9.3 | 9.6 | 5.7 | 7.8 | 4.2 | 7.1 | 3.5 | N/A | 16.9 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2019-04-22 | 2019-04-28 | N | 3000 | N/A | 1 | 15 | 7 | 6 | 10 | 12 | 6 | 9 | 5 | 5 | 3 | 1 | 17 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Kantar Public | N/A | 2019-04-17 | 2019-04-25 | N | 971 | N/A | 1 | 18 | 7 | 7 | 7 | 13 | 5 | 8 | 4 | 5 | 4 | 1 | 19 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
I&O Research | N/A | 2019-04-19 | 2019-04-24 | E | 1672 | N/A | 0.1 | 17.2 | 10.0 | 5.9 | 7.8 | 12.7 | 7.7 | 9.0 | 2.9 | 7.4 | 2.9 | N/A | 14.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
I&O Research | N/A | 2019-04-19 | 2019-04-24 | N | 1672 | N/A | 0.1 | 17.3 | 8.3 | 7.6 | 7.8 | 12.7 | 6.5 | 7.6 | 3.7 | 3.8 | 4.1 | 2.8 | 15.9 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.3
Peil.nl | N/A | 2019-04-15 | 2019-04-21 | N | 3000 | N/A | 1 | 15 | 7 | 5 | 10 | 12 | 6 | 9 | 5 | 5 | 3 | 1 | 19 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-04-08 | 2019-04-14 | N | 3000 | N/A | 1 | 15 | 7 | 5 | 10 | 12 | 6 | 9 | 5 | 5 | 3 | 1 | 19 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-04-01 | 2019-04-07 | N | 3000 | N/A | 1 | 15 | 7 | 5 | 10 | 12 | 6 | 9 | 5 | 5 | 3 | 1 | 19 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-03-25 | 2019-03-31 | N | 3000 | N/A | 1 | 15 | 7 | 6 | 9 | 12 | 6 | 9 | 5 | 5 | 3 | 1 | 18 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-03-18 | 2019-03-24 | N | 3000 | N/A | 1 | 15 | 8 | 7 | 9 | 12 | 6 | 9 | 5 | 5 | 3 | 1 | 17 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | N/A | 2019-03-21 | 2019-03-21 | N | N/A | N/A | 0.1 | 17.1 | 8.3 | 12.7 | 9.2 | 9.7 | 7.0 | 6.0 | 4.6 | 4.5 | 4.5 | 2.2 | 11.4 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
I&O Research | N/A | 2019-03-18 | 2019-03-18 | N | N/A | N/A | 0.1 | 15.2 | 7.4 | 9.7 | 9.5 | 12.1 | 7.8 | 7.6 | 4.6 | 4.8 | 3.5 | 2.4 | 13.0 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.6
Peil.nl | N/A | 2019-03-11 | 2019-03-16 | N | 3000 | N/A | 1 | 15 | 7 | 10 | 7 | 11 | 8 | 8 | 5 | 5 | 3 | 2 | 13 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
I&O Research | N/A | 2019-03-08 | 2019-03-12 | N | 2084 | N/A | 0.1 | 15.8 | 7.1 | 10.0 | 9.6 | 12.0 | 9.6 | 6.8 | 3.6 | 5.5 | 3.8 | 2.1 | 11.5 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.4
Peil.nl | N/A | 2019-03-04 | 2019-03-10 | N | 3000 | N/A | 1 | 15 | 6 | 10 | 6 | 12 | 7 | 9 | 5 | 5 | 3 | 2 | 13 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
Peil.nl | N/A | 2019-02-25 | 2019-03-03 | N | 3000 | N/A | 1 | 15 | 6 | 11 | 7 | 12 | 8 | 9 | 5 | 5 | 3 | 2 | 11 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
I&O Research | N/A | 2019-02-22 | 2019-02-26 | N | 1944 | N/A | 0.1 | 15.3 | 7.4 | 11.1 | 7.9 | 13.3 | 9.1 | 6.5 | 4.6 | 4.7 | 4.0 | 2.7 | 10.5 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.6
Ipsos | EenVandaag | 2019-02-22 | 2019-02-24 | N | 1026 | N/A | 0.1 | 18.4 | 9.2 | 12.4 | 8.6 | 10.6 | 7.4 | 6.1 | 4.1 | 4.2 | 4.1 | 2.5 | 9.9 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.3
Peil.nl | N/A | 2019-02-18 | 2019-02-24 | N | 3000 | N/A | 1 | 15 | 6 | 12 | 6 | 12 | 8 | 9 | 5 | 5 | 3 | 2 | 12 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2019-02-11 | 2019-02-17 | N | 3000 | N/A | 1 | 15 | 7 | 12 | 7 | 11 | 8 | 9 | 5 | 5 | 3 | 2 | 11 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Kantar Public | N/A | 2019-02-12 | 2019-02-12 | N | N/A | N/A | 1 | 19 | 9 | 12 | 9 | 11 | 9 | 6 | 3 | 5 | 4 | 2 | 9 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2019-02-04 | 2019-02-10 | N | 3000 | N/A | 1 | 15 | 7 | 12 | 7 | 11 | 8 | 9 | 5 | 5 | 3 | 2 | 11 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2019-01-28 | 2019-02-03 | N | 3000 | N/A | 1 | 15 | 7 | 12 | 7 | 11 | 9 | 10 | 5 | 4 | 3 | 2 | 11 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | EenVandaag | 2019-01-25 | 2019-01-28 | N | 1002 | N/A | 0.1 | 17.5 | 8.5 | 13.1 | 9.1 | 11.4 | 8.2 | 5.7 | 4.9 | 4.7 | 3.6 | 2.4 | 7.8 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.9
Peil.nl | N/A | 2019-01-21 | 2019-01-27 | N | 3000 | N/A | 1 | 15 | 7 | 12 | 7 | 11 | 9 | 10 | 5 | 4 | 3 | 2 | 11 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
I&O Research | N/A | 2019-01-18 | 2019-01-22 | N | 3734 | N/A | 0.1 | 16.3 | 7.2 | 11.8 | 9.6 | 12.0 | 8.6 | 7.5 | 4.2 | 4.8 | 3.1 | 2.7 | 10.4 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.3
Peil.nl | N/A | 2019-01-14 | 2019-01-20 | N | 3000 | N/A | 1 | 15 | 7 | 12 | 7 | 11 | 9 | 10 | 5 | 4 | 3 | 2 | 11 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2019-01-07 | 2019-01-13 | N | 3000 | N/A | 1 | 15 | 7 | 12 | 7 | 11 | 8 | 10 | 5 | 5 | 3 | 2 | 11 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Kantar Public | N/A | 2019-01-12 | 2019-01-12 | N | N/A | N/A | 1 | 19 | 10 | 11 | 11 | 13 | 8 | 7 | 3 | 5 | 3 | 2 | 8 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | EenVandaag | 2018-12-14 | 2018-12-17 | N | 1013 | N/A | 0.1 | 18.6 | 9.4 | 12.5 | 9.6 | 10.6 | 7.6 | 5.8 | 5.5 | 4.4 | 3.7 | 2.5 | 6.9 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0
Peil.nl | N/A | 2018-12-10 | 2018-12-16 | N | 3000 | N/A | 1 | 15 | 7 | 12 | 7 | 11 | 8 | 10 | 5 | 5 | 3 | 2 | 11 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Kantar Public | N/A | 2018-12-07 | 2018-12-11 | N | 1025 | N/A | 1 | 20 | 8 | 13 | 9 | 11 | 10 | 6 | 3 | 6 | 2 | 2 | 9 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-12-03 | 2018-12-09 | N | 3000 | N/A | 1 | 15 | 7 | 12 | 7 | 11 | 8 | 10 | 5 | 5 | 3 | 2 | 11 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-11-26 | 2018-12-02 | N | 3000 | N/A | 1 | 15 | 7 | 13 | 7 | 11 | 8 | 10 | 5 | 5 | 3 | 2 | 9 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
I&O Research | N/A | 2018-11-22 | 2018-11-27 | N | 3145 | N/A | 0.1 | 17.1 | 8.2 | 11.8 | 9.5 | 12.5 | 9.6 | 6.4 | 3.8 | 4.3 | 3.0 | 2.7 | 8.0 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.5
Ipsos | EenVandaag | 2018-11-23 | 2018-11-26 | N | 1028 | N/A | 0.1 | 18.7 | 8.2 | 13.5 | 9.6 | 10.8 | 8.2 | 6.4 | 4.7 | 4.3 | 3.6 | 2.5 | 6.6 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
Peil.nl | N/A | 2018-11-19 | 2018-11-25 | N | 3000 | N/A | 1 | 15 | 7 | 13 | 7 | 11 | 9 | 10 | 5 | 4 | 3 | 2 | 8 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-11-12 | 2018-11-18 | N | 3000 | N/A | 1 | 16 | 7 | 13 | 7 | 11 | 9 | 10 | 5 | 3 | 3 | 2 | 9 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-11-05 | 2018-11-11 | N | 3000 | N/A | 1 | 16 | 7 | 13 | 7 | 11 | 9 | 10 | 5 | 3 | 3 | 2 | 9 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-10-29 | 2018-11-04 | N | 3000 | N/A | 1 | 16 | 7 | 13 | 7 | 11 | 9 | 10 | 5 | 3 | 3 | 2 | 9 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | EenVandaag | 2018-10-26 | 2018-10-29 | N | 1013 | N/A | 0.1 | 20.1 | 8.2 | 14.2 | 10.0 | 10.4 | 7.0 | 6.8 | 3.9 | 4.4 | 4.4 | 1.9 | 6.3 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.7
Peil.nl | N/A | 2018-10-22 | 2018-10-28 | N | 3000 | N/A | 1 | 16 | 6 | 12 | 7 | 12 | 9 | 9 | 5 | 4 | 3 | 2 | 9 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-10-15 | 2018-10-21 | N | 3000 | N/A | 1 | 16 | 6 | 12 | 7 | 12 | 9 | 9 | 5 | 4 | 3 | 2 | 9 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-10-08 | 2018-10-14 | N | 3000 | N/A | 1 | 16 | 6 | 12 | 7 | 12 | 9 | 9 | 5 | 4 | 3 | 2 | 9 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-10-01 | 2018-10-07 | N | 3000 | N/A | 1 | 16 | 6 | 12 | 7 | 12 | 9 | 9 | 5 | 4 | 3 | 2 | 9 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-09-24 | 2018-09-30 | N | 3000 | N/A | 1 | 17 | 6 | 12 | 7 | 12 | 9 | 9 | 5 | 4 | 3 | 2 | 9 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | EenVandaag | 2018-09-21 | 2018-09-23 | N | 1049 | N/A | 0.1 | 20.1 | 8.4 | 13.1 | 10.1 | 10.8 | 8.1 | 5.4 | 5.3 | 4.1 | 3.7 | 2.4 | 6.3 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.4
Peil.nl | N/A | 2018-09-17 | 2018-09-23 | N | 3000 | N/A | 1 | 17 | 7 | 11 | 7 | 12 | 8 | 9 | 5 | 4 | 3 | 2 | 9 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Kantar Public | N/A | 2018-09-13 | 2018-09-16 | N | 1040 | N/A | 1 | 18 | 8 | 13 | 9 | 13 | 9 | 7 | 4 | 6 | 3 | 2 | 6 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-09-10 | 2018-09-16 | N | 3000 | N/A | 1 | 17 | 7 | 10 | 7 | 12 | 9 | 8 | 5 | 4 | 3 | 2 | 11 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
I&O Research | N/A | 2018-09-07 | 2018-09-11 | N | 1988 | N/A | 0.1 | 17.1 | 8.9 | 9.7 | 9.6 | 12.7 | 8.9 | 7.4 | 4.4 | 4.9 | 3.4 | 2.7 | 8.0 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.4
Peil.nl | N/A | 2018-09-03 | 2018-09-09 | N | 3000 | N/A | 1 | 18 | 7 | 11 | 7 | 11 | 8 | 8 | 5 | 4 | 3 | 2 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | EenVandaag | 2018-08-31 | 2018-09-03 | N | 1045 | N/A | 0.1 | 20.3 | 8.7 | 11.9 | 11.2 | 10.2 | 9.3 | 5.4 | 4.7 | 4.3 | 3.7 | 2.1 | 5.7 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.6
Peil.nl | N/A | 2018-08-27 | 2018-09-02 | N | 3000 | N/A | 1 | 19 | 8 | 11 | 7 | 11 | 8 | 7 | 5 | 4 | 3 | 2 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-08-20 | 2018-08-26 | N | 3000 | N/A | 1 | 19 | 8 | 11 | 7 | 11 | 8 | 7 | 5 | 4 | 3 | 2 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-08-13 | 2018-08-19 | N | 3000 | N/A | 1 | 19 | 9 | 10 | 8 | 11 | 8 | 7 | 5 | 4 | 3 | 2 | 10 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | EenVandaag | 2018-07-27 | 2018-07-30 | N | 1440 | N/A | 0.1 | 21.5 | 8.9 | 12.0 | 10.2 | 10.0 | 7.6 | 4.9 | 5.1 | 4.3 | 4.1 | 2.3 | 6.2 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.6
Peil.nl | N/A | 2018-07-02 | 2018-07-08 | N | 3000 | N/A | 1 | 20 | 9 | 10 | 8 | 11 | 7 | 7 | 5 | 4 | 3 | 2 | 10 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-06-25 | 2018-07-01 | N | 3000 | N/A | 1 | 19 | 9 | 10 | 8 | 11 | 7 | 7 | 5 | 4 | 4 | 2 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
I&O Research | N/A | 2018-06-13 | 2018-06-29 | N | 2252 | N/A | 0.1 | 17.5 | 9.1 | 10.3 | 10.8 | 12.7 | 7.6 | 7.0 | 4.4 | 4.7 | 4.0 | 2.3 | 7.1 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.1
Ipsos | EenVandaag | 2018-06-22 | 2018-06-25 | N | 1140 | N/A | 0.1 | 20.4 | 9.9 | 11.4 | 10.8 | 10.7 | 7.4 | 5.1 | 4.7 | 4.2 | 3.7 | 2.0 | 6.0 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.6
Peil.nl | N/A | 2018-06-18 | 2018-06-24 | N | 3000 | N/A | 1 | 18 | 9 | 9 | 8 | 11 | 7 | 7 | 5 | 4 | 4 | 2 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-06-11 | 2018-06-17 | N | 3000 | N/A | 1 | 18 | 9 | 9 | 8 | 11 | 8 | 7 | 5 | 4 | 4 | 2 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Kantar Public | N/A | 2018-06-13 | 2018-06-13 | N | N/A | N/A | 1 | 21 | 9 | 14 | 10 | 10 | 7 | 7 | 3 | 5 | 4 | 1 | 6 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-06-04 | 2018-06-10 | N | 3000 | N/A | 1 | 18 | 9 | 9 | 8 | 11 | 8 | 7 | 5 | 4 | 4 | 2 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-05-28 | 2018-06-03 | N | 3000 | N/A | 1 | 17 | 9 | 9 | 8 | 11 | 9 | 7 | 5 | 4 | 4 | 2 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | EenVandaag | 2018-05-25 | 2018-05-28 | N | 1045 | N/A | 0.1 | 20.5 | 10.0 | 10.5 | 11.0 | 11.7 | 7.2 | 5.3 | 4.5 | 4.4 | 3.4 | 2.0 | 6.4 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
Peil.nl | N/A | 2018-05-21 | 2018-05-27 | N | 3000 | N/A | 1 | 17 | 8 | 9 | 9 | 11 | 9 | 8 | 5 | 4 | 4 | 2 | 11 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-05-14 | 2018-05-20 | N | 3000 | N/A | 1 | 17 | 8 | 9 | 9 | 11 | 9 | 8 | 5 | 3 | 5 | 2 | 11 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2018-05-07 | 2018-05-13 | N | 3000 | N/A | 1 | 17 | 8 | 9 | 9 | 11 | 9 | 8 | 5 | 3 | 5 | 2 | 11 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
