Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | R | EK | EKRE | SDE | EVA | I | EER | E200 | KALJ | TULE | P | EÜVP | Other
Turu-uuringute AS | ERR | 2020-02-06 | 2020-02-17 | N | 808 | N/A | 1 | 25 | 24 | 16 | 10 | N/A | 5 | 2 | 9 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-02-04 | 2020-02-11 | N | 1000 | N/A | 0.1 | 33.8 | 20.0 | 17.5 | 6.7 | 0.5 | 7.3 | 3.3 | 9.2 | N/A | N/A | N/A | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-01-28 | 2020-02-03 | N | 1000 | N/A | 0.1 | 35.1 | 20.8 | 15.6 | 10.2 | 0.3 | 5.9 | 2.7 | 8.5 | N/A | N/A | N/A | N/A | 0.9
Kantar Emor | N/A | 2020-01-01 | 2020-01-31 | N | N/A | N/A | 1 | 30 | 17 | 16 | 14 | 1 | 8 | 3 | 9 | N/A | N/A | N/A | N/A | 2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-01-23 | 2020-01-27 | N | 1000 | N/A | 0.1 | 35.9 | 19.3 | 12.7 | 10.7 | 0.4 | 6.0 | 4.1 | 8.5 | N/A | N/A | N/A | N/A | 2.4
Turu-uuringute AS | ERR | 2020-01-17 | 2020-01-27 | N | 808 | N/A | 1 | 25 | 24 | 18 | 10 | 1 | 7 | 3 | 8 | N/A | N/A | N/A | N/A | 4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-01-16 | 2020-01-24 | N | 1000 | N/A | 0.1 | 35.0 | 22.8 | 14.6 | 9.3 | 1.1 | 5.6 | 2.9 | 7.2 | N/A | N/A | N/A | N/A | 1.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-01-08 | 2020-01-14 | N | 1000 | N/A | 0.1 | 32.2 | 24.3 | 12.9 | 8.5 | 0.6 | 8.4 | 3.5 | 7.0 | N/A | N/A | N/A | N/A | 2.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-01-03 | 2020-01-07 | N | 1000 | N/A | 0.1 | 34.1 | 23.6 | 15.8 | 8.2 | 0.6 | 6.3 | 2.6 | 7.3 | N/A | N/A | N/A | N/A | 1.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-12-18 | 2019-12-23 | N | 1000 | N/A | 0.1 | 30.3 | 22.0 | 16.1 | 11.9 | 0.9 | 5.9 | 3.4 | 7.2 | N/A | N/A | N/A | N/A | 2.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-12-11 | 2019-12-17 | N | 1000 | N/A | 0.1 | 34.3 | 22.5 | 13.5 | 11.8 | 0.1 | 5.4 | 3.2 | 6.8 | N/A | N/A | N/A | N/A | 2.4
Kantar Emor | BNS and Postimees | 2019-12-05 | 2019-12-12 | N | 1407 | N/A | 0.1 | 34.8 | 17.9 | 15.6 | 13.7 | N/A | 6.3 | 2.0 | 7.7 | N/A | N/A | N/A | N/A | 2.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-12-02 | 2019-12-09 | N | 1000 | N/A | 0.1 | 35.4 | 21.1 | 16.3 | 9.0 | 0.4 | 6.0 | 3.2 | 6.6 | N/A | N/A | N/A | N/A | 1.9
Turu-uuringute AS | ERR | 2019-11-28 | 2019-12-09 | N | 1014 | N/A | 1 | 29 | 25 | 17 | 10 | 1 | 5 | 3 | 5 | N/A | N/A | N/A | N/A | 5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-11-25 | 2019-11-29 | N | 1000 | N/A | 0.1 | 36.4 | 23.5 | 11.9 | 10.4 | 0.5 | 8.1 | 3.8 | 2.9 | N/A | N/A | N/A | N/A | 2.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-11-18 | 2019-11-25 | N | 1000 | N/A | 0.1 | 36.1 | 24.0 | 12.2 | 9.8 | 0.5 | 6.8 | 3.5 | 5.0 | N/A | N/A | N/A | N/A | 2.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-11-11 | 2019-11-15 | N | 1000 | N/A | 0.1 | 35.4 | 26.1 | 12.6 | 9.5 | 0.1 | 7.2 | 1.7 | 3.8 | N/A | N/A | N/A | N/A | 3.8
Kantar Emor | BNS and Postimees | 2019-11-07 | 2019-11-13 | N | 1407 | N/A | 0.1 | 27.4 | 16.0 | 18.3 | 16.0 | 1.0 | 6.1 | 4.0 | 9.4 | N/A | N/A | N/A | N/A | 1.7
Turu-uuringute AS | ERR | 2019-10-31 | 2019-11-12 | N | 1019 | N/A | 1 | 30 | 23 | 17 | 11 | 1 | 5 | 2 | 7 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-11-05 | 2019-11-11 | N | 1000 | N/A | 0.1 | 32.6 | 24.3 | 17.5 | 10.9 | 0.2 | 6.5 | 3.5 | 3.4 | N/A | N/A | N/A | N/A | 1.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-10-28 | 2019-11-05 | N | 1000 | N/A | 0.1 | 36.2 | 22.9 | 15.8 | 8.2 | 0.8 | 5.8 | 3.2 | 5.0 | N/A | N/A | N/A | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-10-22 | 2019-10-28 | N | 1000 | N/A | 0.1 | 36.1 | 23.4 | 17.7 | 6.3 | 0.6 | 5.5 | 2.9 | 5.1 | N/A | N/A | N/A | N/A | 2.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-10-15 | 2019-10-21 | N | 1000 | N/A | 0.1 | 36.3 | 23.4 | 15.6 | 7.4 | 0.3 | 6.6 | 2.7 | 4.5 | N/A | N/A | N/A | N/A | 2.9
Kantar Emor | BNS and Postimees | 2019-10-10 | 2019-10-16 | N | 1182 | N/A | 0.1 | 32.5 | 17.6 | 16.6 | 12.4 | N/A | 6.2 | 2.9 | 9.4 | N/A | N/A | N/A | N/A | 1.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-10-09 | 2019-10-14 | N | 1000 | N/A | 0.1 | 30.7 | 25.8 | 17.6 | 8.3 | 0.4 | 7.1 | 2.3 | 5.6 | N/A | N/A | N/A | N/A | 1.4
Turu-uuringute AS | ERR | 2019-10-03 | 2019-10-13 | N | 1040 | N/A | 1 | 32 | 22 | 17 | 9 | 1 | 6 | 3 | 7 | N/A | N/A | N/A | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-10-01 | 2019-10-08 | N | 1000 | N/A | 0.1 | 35.6 | 22.2 | 15.2 | 9.2 | 0.6 | 6.5 | 2.4 | 6.1 | N/A | N/A | N/A | N/A | 2.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-09-25 | 2019-09-30 | N | 1000 | N/A | 0.1 | 32.7 | 24.3 | 15.6 | 8.3 | 0.6 | 7.4 | 2.8 | 6.2 | N/A | N/A | N/A | N/A | 2.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-09-18 | 2019-09-23 | N | 1000 | N/A | 0.1 | 37.1 | 20.7 | 18.3 | 8.6 | 0.6 | 5.4 | 3.4 | 4.2 | N/A | N/A | N/A | N/A | 1.8
Kantar Emor | BNS and Postimees | 2019-09-11 | 2019-09-19 | N | 1161 | N/A | 0.1 | 32.8 | 16.5 | 18.4 | 11.0 | N/A | 7.0 | 5.0 | 7.5 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-09-10 | 2019-09-17 | N | 1000 | N/A | 0.1 | 33.5 | 24.0 | 17.0 | 6.4 | 0.1 | 7.2 | 3.7 | 5.2 | N/A | N/A | N/A | N/A | 2.3
Turu-uuringute AS | ERR | 2019-09-05 | 2019-09-16 | N | 1040 | N/A | 1 | 32 | 21 | 19 | 9 | 0 | 6 | 2 | 5 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-09-03 | 2019-09-09 | N | 1000 | N/A | 0.1 | 33.9 | 23.7 | 15.1 | 9.1 | 0.6 | 7.8 | 2.6 | 5.0 | N/A | N/A | N/A | N/A | 2.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-08-27 | 2019-09-02 | N | 1000 | N/A | 0.1 | 35.9 | 24.6 | 14.8 | 9.3 | 0.2 | 6.5 | 1.3 | 4.8 | N/A | N/A | N/A | N/A | 2.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-08-21 | 2019-08-26 | N | 1000 | N/A | 0.1 | 34.3 | 23.7 | 15.2 | 9.0 | 0.8 | 6.2 | 2.6 | 4.5 | N/A | N/A | N/A | N/A | 3.6
Kantar Emor | BNS and Postimees | 2019-08-15 | 2019-08-21 | N | 1161 | N/A | 0.1 | 36.4 | 15.8 | 17.4 | 12.9 | 1.0 | 4.7 | 4.0 | 6.8 | N/A | N/A | N/A | N/A | 1.0
Turu-uuringute AS | ERR | 2019-08-09 | 2019-08-20 | N | 1000 | N/A | 1 | 34 | 22 | 16 | 8 | 1 | 7 | 3 | 5 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-08-13 | 2019-08-19 | N | 1000 | N/A | 0.1 | 33.9 | 23.0 | 16.9 | 10.9 | 0.7 | 7.1 | 1.8 | 4.1 | N/A | N/A | N/A | N/A | 1.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-08-05 | 2019-08-12 | N | 1000 | N/A | 0.1 | 33.5 | 22.0 | 16.4 | 10.0 | 0.3 | 9.1 | 3.9 | 3.5 | N/A | N/A | N/A | N/A | 1.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-07-30 | 2019-08-05 | N | 1000 | N/A | 0.1 | 40.1 | 18.9 | 12.7 | 8.1 | 0.8 | 8.8 | 2.8 | 4.2 | N/A | N/A | N/A | N/A | 3.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-07-22 | 2019-07-30 | N | 1000 | N/A | 0.1 | 36.2 | 17.8 | 17.7 | 12.0 | 0.6 | 7.1 | 1.9 | 4.0 | N/A | N/A | N/A | N/A | 2.6
Kantar Emor | BNS and Postimees | 2019-07-18 | 2019-07-24 | N | 1305 | N/A | 0.1 | 34.5 | 15.3 | 19.4 | 10.8 | N/A | 6.8 | N/A | 7.9 | N/A | N/A | N/A | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-07-15 | 2019-07-22 | N | 1000 | N/A | 0.1 | 39.1 | 18.3 | 16.6 | 7.6 | 0.2 | 7.7 | 2.7 | 4.4 | N/A | N/A | N/A | N/A | 3.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-07-08 | 2019-07-15 | N | 1000 | N/A | 0.1 | 37.7 | 16.4 | 15.8 | 8.7 | 1.1 | 11.0 | 2.7 | 4.0 | N/A | N/A | N/A | N/A | 2.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-07-02 | 2019-07-08 | N | 1000 | N/A | 0.1 | 31.9 | 22.3 | 18.0 | 11.0 | 0.9 | 8.2 | 2.5 | 4.3 | N/A | N/A | N/A | N/A | 1.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-06-26 | 2019-07-01 | N | 1000 | N/A | 0.1 | 34.3 | 20.8 | 17.5 | 9.8 | 0.2 | 9.2 | 2.1 | 5.3 | N/A | N/A | N/A | N/A | 0.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-06-11 | 2019-06-19 | N | 1000 | N/A | 0.1 | 34.4 | 18.4 | 13.9 | 12.4 | 0.3 | 5.1 | 1.6 | 12.4 | N/A | N/A | N/A | N/A | 1.5
Kantar Emor | BNS and Postimees | 2019-06-06 | 2019-06-13 | N | 1129 | N/A | 0.1 | 36.0 | 14.7 | 16.7 | 12.8 | 0 | 6.9 | 3.0 | 8.3 | N/A | N/A | N/A | N/A | 1.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-06-04 | 2019-06-11 | N | 1000 | N/A | 0.1 | 30.3 | 21.4 | 19.1 | 9.4 | 1.4 | 8.7 | 2.6 | 5.8 | N/A | N/A | N/A | N/A | 1.0
Turu-uuringute AS | ERR | 2019-05-28 | 2019-06-10 | N | 1000 | N/A | 1 | 32 | 19 | 18 | 11 | 1 | 9 | 1 | 4 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-05-27 | 2019-06-03 | N | 1000 | N/A | 1 | 30 | 23 | 19 | 12 | 0 | 8 | 3 | 3 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-05-20 | 2019-05-27 | N | 1000 | N/A | 0.1 | 33.0 | 19.5 | 16.8 | 11.7 | 0.4 | 10.4 | 2.4 | 4.6 | N/A | N/A | N/A | N/A | 1.1
Kantar Emor | BNS and Postimees | 2019-05-20 | 2019-05-23 | E | 1390 | N/A | 1 | 23.0 | 17.0 | 12.0 | 21.0 | N/A | 9.0 | 3.0 | 5.0 | 9.0 | N/A | N/A | N/A | 1.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-05-14 | 2019-05-20 | N | 1000 | N/A | 0.1 | 28.6 | 21.5 | 22.0 | 9.4 | 0.7 | 8.8 | 2.2 | 5.3 | N/A | N/A | N/A | N/A | 1.5
Turu-uuringute AS | ERR | 2019-05-02 | 2019-05-15 | E | 2037 | N/A | 1 | 27 | 20 | 17 | 10 | N/A | 10 | N/A | 8 | N/A | N/A | N/A | N/A | 8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-05-06 | 2019-05-13 | N | 1000 | N/A | 0.1 | 31.8 | 19.4 | 16.2 | 12.2 | 0.3 | 8.0 | 4.5 | 5.1 | N/A | N/A | N/A | N/A | 2.0
Kantar Emor | BNS and Postimees | 2019-05-07 | 2019-05-09 | N | 1271 | N/A | 0.1 | 33.5 | 15.3 | 16.9 | 12.9 | N/A | 6.1 | N/A | 11.5 | N/A | N/A | N/A | N/A | 3.8
Kantar Emor | BNS and Postimees | 2019-05-07 | 2019-05-09 | E | 1271 | N/A | 0.1 | 27.5 | 17.8 | 11.3 | 18.2 | 0 | 8.2 | 1.3 | 7.0 | 6.9 | N/A | N/A | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-05-03 | 2019-05-09 | E | 1000 | N/A | 0.1 | 21.3 | 18.3 | 12.8 | 24.7 | 0 | 7.8 | 2.7 | 4.0 | 5.6 | N/A | N/A | N/A | 1.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-04-29 | 2019-05-07 | N | 1000 | N/A | 0.1 | 35.6 | 19.9 | 15.0 | 10.8 | 0.5 | 8.3 | 2.5 | 6.0 | N/A | N/A | N/A | N/A | 1.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-04-29 | 2019-05-02 | E | 1000 | N/A | 0.1 | 22.6 | 18.9 | 11.2 | 21.3 | 0.3 | 10 | 3.3 | 3.9 | 5.4 | N/A | N/A | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-04-22 | 2019-04-29 | N | 1000 | N/A | 0.1 | 33.6 | 18.5 | 19.1 | 8.5 | 0.3 | 7.6 | 3.4 | 7.2 | N/A | N/A | N/A | N/A | 1.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-04-15 | 2019-04-22 | N | 1000 | N/A | 0.1 | 32 | 20.1 | 20.1 | 8.4 | 0.7 | 9.2 | 2.6 | 5.4 | N/A | N/A | N/A | N/A | 0.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-04-12 | 2019-04-17 | E | 1000 | N/A | 0.5 | 22 | 20 | 14 | 17 | 0.5 | 11 | 3.0 | 5 | N/A | N/A | N/A | N/A | N/A
Kantar Emor | BNS and Postimees | 2019-04-10 | 2019-04-15 | N | 1000 | N/A | 0.1 | 32.3 | 17 | 15.4 | 11.4 | 1.1 | 8.5 | 2.7 | 10.3 | N/A | N/A | N/A | N/A | N/A
Kantar Emor | BNS and Postimees | 2019-04-10 | 2019-04-15 | E | 1211 | N/A | 1 | 23 | 18 | 11 | 16 | 0 | 9 | 3 | 3 | 10 | N/A | N/A | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-04-08 | 2019-04-15 | N | 1000 | N/A | 0.1 | 34.6 | 19.4 | 18 | 10.1 | 0.3 | 7.3 | 2.5 | 5.9 | N/A | N/A | N/A | N/A | 1.3
Turu-uuringute AS | ERR | 2019-04-02 | 2019-04-15 | N | 1000 | N/A | 1 | 30 | 24 | 16 | 8 | 1 | 9 | 2 | 8 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-04-01 | 2019-04-08 | N | 1000 | N/A | 0.1 | 33.4 | 22.5 | 14.8 | 8.0 | 0.5 | 11.6 | 3.0 | 4.8 | N/A | N/A | N/A | N/A | 1.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-03-25 | 2019-03-29 | N | 1000 | N/A | 0.1 | 32.5 | 20.5 | 19.1 | 10.1 | 0.6 | 9.0 | 1.7 | 5.5 | N/A | N/A | N/A | N/A | 1.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-03-18 | 2019-03-24 | N | 1000 | N/A | 0.1 | 31.9 | 19.5 | 18.8 | 9.3 | 0.9 | 8.9 | 2.1 | 7.2 | N/A | N/A | N/A | N/A | 1.5
Kantar Emor | BNS and Postimees | 2019-03-14 | 2019-03-21 | N | 1214 | N/A | 0.1 | 32 | 17 | 18 | 11 | 0.3 | 7 | 3 | 10 | N/A | N/A | N/A | N/A | 1.7
Turu-uuringute AS | ERR | 2019-03-05 | 2019-03-18 | N | 1004 | N/A | 1 | 27 | 24 | 21 | 9 | 1 | 11 | 1 | 5 | N/A | N/A | N/A | N/A | 1
Turu-uuringute AS | ERR | 2019-03-05 | 2019-03-18 | E | 1004 | N/A | 1 | 30 | 22 | 18 | 8 | N/A | 11 | N/A | 4 | N/A | N/A | N/A | N/A | 7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-03-11 | 2019-03-15 | N | 1000 | N/A | 0.1 | 36.9 | 19.4 | 12.6 | 9.0 | 0.6 | 11.2 | 1.7 | 6.5 | N/A | N/A | N/A | N/A | 2.1
Kantar Emor | BNS and Postimees | 2019-03-12 | 2019-03-13 | N | 752 | N/A | 0.1 | 30.0 | 19.4 | 18.1 | 12.5 | 0.6 | 7.3 | 1.7 | 8.5 | N/A | N/A | N/A | N/A | 2.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-03-05 | 2019-03-11 | N | 1000 | N/A | 0.1 | 31.9 | 21.2 | 18.1 | 9.1 | 1.1 | 11.4 | 1.7 | 4.4 | N/A | N/A | N/A | N/A | 1.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-02-24 | 2019-03-01 | N | 1000 | N/A | 0.1 | 26.4 | 23.5 | 17.7 | 12.5 | 0.7 | 12.3 | 1.6 | 4.4 | N/A | N/A | N/A | N/A | N/A
Kantar Emor | BNS and Postimees | 2019-02-26 | 2019-02-28 | N | 1118 | N/A | 0.1 | 26.6 | 24.5 | 17.3 | 11.9 | 1.3 | 10.1 | 2.2 | 4.3 | N/A | N/A | N/A | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-02-18 | 2019-02-24 | N | 1001 | N/A | 0.1 | 30.5 | 21.5 | 18.8 | 12.0 | 1 | 9.3 | 2.3 | 3.6 | N/A | N/A | N/A | N/A | N/A
Kantar Emor | BNS and Postimees | 2019-02-14 | 2019-02-20 | N | 1181 | N/A | 0.1 | 25.7 | 24.7 | 21.3 | 10.1 | 0.9 | 9.2 | 2 | 5.6 | N/A | N/A | N/A | N/A | 0.5
Turu-uuringute AS | ERR | 2019-02-07 | 2019-02-20 | N | 4716 | N/A | 1 | 24 | 28 | 17 | 11 | 2 | 10 | 3 | 4 | N/A | N/A | N/A | N/A | 1
Turu-uuringute AS | ERR | 2019-02-07 | 2019-02-20 | E | 4716 | N/A | 1 | 28 | 28 | 15 | 7 | N/A | 7 | N/A | 6 | N/A | N/A | N/A | N/A | 9
OÜ Faktum & Ariko | N/A | 2019-02-12 | 2019-02-18 | N | 1163 | N/A | 1 | 25 | 22 | 18 | 11 | 2 | 11 | 2 | 4 | N/A | N/A | N/A | N/A | 4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-02-11 | 2019-02-17 | N | 1000 | N/A | 0.1 | 31.7 | 23.4 | 15.2 | 8.4 | 1.0 | 12.9 | 2.8 | 2.4 | N/A | N/A | N/A | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-02-04 | 2019-02-11 | N | 1000 | N/A | 0.1 | 30.6 | 27.4 | 17.6 | 9.1 | 1.3 | 7.7 | 2.1 | 2.6 | N/A | N/A | N/A | N/A | N/A
Kantar Emor | BNS and Postimees | 2019-02-04 | 2019-02-07 | N | 1136 | N/A | 0.1 | 24.5 | 26.5 | 18.9 | 11.5 | 0.7 | 8.6 | 2.2 | 6.4 | N/A | N/A | N/A | N/A | 0.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-01-28 | 2019-02-04 | N | 1000 | N/A | 0.1 | 26.6 | 30.5 | 13.3 | 11.0 | 0.7 | 7.3 | 4.0 | 4.6 | N/A | N/A | N/A | N/A | N/A
Kantar Emor | BNS and Postimees | 2019-01-24 | 2019-01-29 | N | 1001 | N/A | 0.1 | 26.3 | 24.4 | 18.2 | 9.7 | 1.7 | 7.5 | 4.4 | 7.2 | N/A | N/A | N/A | N/A | 0.6
Turu-uuringute AS | ERR | 2019-01-15 | 2019-01-28 | N | 1000 | N/A | 1 | 25 | 33 | 17 | 7 | 1 | 6 | 3 | 5 | N/A | N/A | N/A | N/A | 3
Turu-uuringute AS | ERR | 2019-01-15 | 2019-01-28 | E | 1000 | N/A | 1 | 26 | 32 | 13 | 6 | N/A | 5 | N/A | 6 | N/A | N/A | N/A | N/A | 15
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-01-21 | 2019-01-27 | N | N/A | N/A | 0.1 | 27.1 | 27.3 | 19.2 | 7.2 | 0.9 | 9.1 | 2.5 | 4.2 | N/A | N/A | N/A | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-01-14 | 2019-01-21 | N | N/A | N/A | 0.1 | 27.1 | 30.2 | 18.2 | 7.7 | 2.0 | 6.5 | 1.9 | 3.7 | N/A | N/A | N/A | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2019-01-07 | 2019-01-13 | N | 1071 | N/A | 0.1 | 26.8 | 26.9 | 20.5 | 9.6 | 0.3 | 6.8 | 2.1 | 2.3 | N/A | N/A | N/A | N/A | N/A
Turu-uuringute AS | ERR | 2019-01-03 | 2019-01-09 | N | 1009 | N/A | 1 | 20 | 26 | 20 | 12 | 1 | 9 | 1 | 7 | N/A | N/A | N/A | N/A | 4
Kantar Emor | BNS and Postimees | 2019-01-04 | 2019-01-08 | N | 1340 | N/A | 0.1 | 24.4 | 23.3 | 20.2 | 11.8 | 1.4 | 8 | 3 | 6.6 | N/A | N/A | N/A | N/A | 1.3
Turu-uuringute AS | ERR | 2018-12-13 | 2018-12-19 | N | 1000 | N/A | 1 | 22 | 25 | 21 | 12 | 1 | 8 | 3 | 6 | N/A | N/A | N/A | N/A | 2
Kantar Emor | BNS and Postimees | 2018-12-05 | 2018-12-12 | N | 874 | N/A | 0.1 | 23 | 25.9 | 20.3 | 9.2 | 2 | 7.8 | 3.5 | 8.2 | N/A | N/A | N/A | N/A | N/A
Turu-uuringute AS | ERR | 2018-11-27 | 2018-12-10 | N | 1000 | N/A | 1 | 21 | 31 | 18 | 8 | 1 | 5 | 3 | 7 | N/A | N/A | N/A | N/A | 6
Kantar Emor | BNS and Postimees | 2018-11-08 | 2018-11-13 | N | 1055 | N/A | 0.1 | 29.0 | 24.7 | 17.0 | 10.7 | 2.4 | 4.6 | 2.6 | 8.5 | N/A | N/A | N/A | N/A | N/A
Kantar Emor | BNS and Postimees | 2018-11-08 | 2018-11-13 | E | 1055 | N/A | 1 | 25 | 22 | 17 | 6 | N/A | 5 | 3 | 9 | N/A | N/A | N/A | N/A | 13
Turu-uuringute AS | ERR | 2018-10-31 | 2018-11-13 | N | 1000 | N/A | 1 | 23 | 33 | 15 | 7 | 1 | 5 | 3 | 8 | N/A | N/A | N/A | N/A | 5
Kantar Emor | BNS and Postimees | 2018-10-11 | 2018-10-18 | N | 954 | N/A | 0.1 | 28.4 | 25.2 | 15.8 | 14.0 | 1.8 | 5.1 | 4.0 | 5.4 | N/A | N/A | N/A | N/A | N/A
Turu-uuringute AS | ERR | 2018-10-02 | 2018-10-15 | N | 1000 | N/A | 1 | 28 | 30 | 17 | 12 | 2 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | N/A
Kantar Emor | BNS and Postimees | 2018-09-12 | 2018-09-20 | N | 973 | N/A | 0.1 | 26.7 | 24.6 | 20.0 | 12.5 | 3.4 | 4.9 | 3.2 | 4.1 | N/A | N/A | N/A | N/A | 0.7
Turu-uuringute AS | ERR | 2018-09-04 | 2018-09-17 | N | 1000 | N/A | 1 | 27 | 28 | 17 | 14 | 2 | 3 | 3 | N/A | N/A | N/A | N/A | N/A | 6
Turu-uuringute AS | ERR | 2018-08-08 | 2018-08-26 | N | 1000 | N/A | 1 | 25 | 27 | 19 | 11 | 2 | 5 | 4 | N/A | N/A | N/A | N/A | N/A | 7
Kantar Emor | BNS and Postimees | 2018-08-15 | 2018-08-22 | N | 1061 | 70.2 | 0.1 | 29.8 | 23.8 | 21.2 | 12.7 | 4.7 | 5.2 | 2.0 | N/A | N/A | N/A | N/A | N/A | 0.6
Kantar Emor | BNS and Postimees | 2018-07-24 | 2018-07-30 | N | 997 | 73.5 | 0.1 | 29.6 | 23.8 | 21.8 | 12.8 | 3.0 | 5.3 | 2.9 | N/A | N/A | N/A | N/A | N/A | 0.7
Kantar Emor | BNS and Postimees | 2018-06-01 | 2018-06-17 | N | N/A | N/A | 1 | 32 | 23 | 17 | 14 | 3 | 7 | 5 | N/A | N/A | N/A | N/A | N/A | N/A
Turu-uuringute AS | ERR | 2018-05-29 | 2018-06-11 | N | 1002 | N/A | 1 | 28 | 27 | 18 | 9 | 4 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 7
Turu-uuringute AS | ERR | 2018-05-21 | 2018-05-21 | N | 1000 | N/A | 1 | 30 | 26 | 15 | 9 | 3 | 5 | 4 | N/A | N/A | N/A | N/A | N/A | 8
Kantar Emor | BNS and Postimees | 2018-05-21 | 2018-05-21 | N | N/A | N/A | 0.1 | 32.0 | 21.0 | 16.7 | 11.9 | 4.0 | 5.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Turu-uuringute AS | ERR | 2018-04-19 | 2018-04-19 | N | N/A | N/A | 1 | 33 | 26 | 14 | 6 | 3 | 4 | 3 | N/A | N/A | N/A | N/A | N/A | 9
Kantar Emor | BNS and Postimees | 2018-04-12 | 2018-04-18 | N | 908 | N/A | 0.1 | 30.0 | 21.6 | 19.1 | 10.6 | 5.8 | 5.8 | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A
Turu-uuringute AS | ERR | 2018-03-08 | 2018-03-21 | N | 1005 | N/A | 1 | 31 | 26 | 13 | 10 | 3 | 5 | 3 | N/A | N/A | N/A | N/A | N/A | 9
Kantar Emor | BNS and Postimees | 2018-03-08 | 2018-03-14 | N | 899 | N/A | 0.1 | 34.1 | 23.8 | 18.3 | 10.6 | 5.0 | 4.1 | 3.6 | N/A | N/A | N/A | N/A | N/A | 0.5
