Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Lab | Con | Lib Dems | SNP | Plaid | UKIP | GPEW | SGP | Reform UK | Change UK | Other
YouGov | N/A | 2019-11-12 | 2019-11-20 | N | 11277 | N/A | 1 | 29 | 43 | 15 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 2
ComRes | Daily Telegraph | 2019-11-18 | 2019-11-19 | N | 1628 | N/A | 1 | 31 | 42 | 15 | 4 | N/A | N/A | N/A | N/A | 5 | N/A | 1
YouGov | The Times | 2019-11-18 | 2019-11-19 | N | 1606 | N/A | 1 | 30 | 42 | 15 | 4 | 0 | N/A | N/A | N/A | 4 | N/A | 1
Ipsos MORI | Evening Standard | 2019-11-15 | 2019-11-19 | N | 1128 | N/A | 1 | 28 | 44 | 16 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 1
ICM Research | N/A | 2019-11-15 | 2019-11-18 | N | 2010 | N/A | 1 | 32 | 42 | 13 | 3 | 0 | N/A | N/A | N/A | 5 | N/A | 2
Kantar Public | N/A | 2019-11-14 | 2019-11-18 | N | 1176 | N/A | 1 | 27 | 45 | 16 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 2
Survation | N/A | 2019-11-14 | 2019-11-16 | N | 1010 | N/A | 1 | 28 | 42 | 13 | 3 | 1 | N/A | N/A | N/A | 5 | N/A | 4
Deltapoll | The Mail on Sunday | 2019-11-10 | 2019-11-16 | N | 1526 | N/A | 1 | 30 | 45 | 11 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 2
YouGov | The Sunday Times | 2019-11-14 | 2019-11-15 | N | 1670 | N/A | 1 | 28 | 45 | 15 | 4 | 0 | N/A | N/A | N/A | 4 | N/A | 2
Opinium | The Observer | 2019-11-13 | 2019-11-15 | N | 2008 | N/A | 1 | 28 | 44 | 14 | 4 | 1 | 0 | N/A | N/A | 6 | 0 | N/A
BMG Research | N/A | 2019-11-09 | 2019-11-15 | N | 1598 | N/A | 1 | 29 | 37 | 16 | 3 | N/A | N/A | N/A | N/A | 9 | N/A | 4
ComRes | The Sunday Telegraph | 2019-11-13 | 2019-11-14 | N | 2052 | N/A | 1 | 33 | 41 | 14 | 3 | N/A | N/A | N/A | N/A | 2 | N/A | 2
Panelbase | N/A | 2019-11-13 | 2019-11-14 | N | 1021 | N/A | 1 | 30 | 43 | 15 | 4 | N/A | 0 | N/A | N/A | 5 | N/A | 0
ComRes | Daily Telegraph | 2019-11-11 | 2019-11-12 | N | 2022 | N/A | 1 | 30 | 40 | 16 | 4 | 0 | 0 | N/A | N/A | 7 | 0 | 1
YouGov | The Times and Sky News | 2019-11-11 | 2019-11-12 | N | 1619 | N/A | 1 | 28 | 42 | 15 | 3 | 1 | N/A | N/A | N/A | 4 | N/A | N/A
ICM Research | N/A | 2019-11-08 | 2019-11-11 | N | 2035 | N/A | 1 | 31 | 39 | 15 | 3 | 1 | 1 | N/A | N/A | 8 | N/A | 0
Kantar Public | N/A | 2019-11-07 | 2019-11-11 | N | 1165 | N/A | 1 | 27 | 37 | 17 | 3 | 1 | 1 | N/A | N/A | 9 | 1 | 1
ComRes | Britain Elects | 2019-11-08 | 2019-11-10 | N | 2014 | N/A | 1 | 29 | 37 | 17 | 4 | N/A | 0 | N/A | N/A | 9 | N/A | 1
Deltapoll | The Mail on Sunday | 2019-11-06 | 2019-11-09 | N | 1518 | N/A | 1 | 29 | 41 | 16 | 3 | 0 | 1 | N/A | N/A | 6 | N/A | 1
YouGov | The Sunday Times and Sky News | 2019-11-07 | 2019-11-08 | N | 1670 | N/A | 1 | 26 | 39 | 17 | 4 | 1 | N/A | N/A | N/A | 10 | N/A | 0
Survation | N/A | 2019-11-06 | 2019-11-08 | N | 2037 | N/A | 1 | 29 | 35 | 17 | 4 | 1 | N/A | N/A | N/A | 10 | N/A | 3
Opinium | The Observer | 2019-11-06 | 2019-11-08 | N | 2001 | N/A | 1 | 29 | 41 | 15 | 5 | 1 | 0 | N/A | N/A | 6 | 0 | 0
Panelbase | N/A | 2019-11-06 | 2019-11-08 | N | 1046 | N/A | 1 | 30 | 40 | 15 | 4 | N/A | 0 | N/A | N/A | 8 | N/A | 0
BMG Research | The Independent | 2019-11-05 | 2019-11-08 | N | 1504 | N/A | 1 | 29 | 37 | 16 | 2 | 0 | 0 | N/A | N/A | 9 | 0 | 0
YouGov | The Times and Sky News | 2019-11-05 | 2019-11-06 | N | 1667 | N/A | 1 | 25 | 36 | 17 | 4 | 1 | 0 | N/A | N/A | 11 | 0 | 1
ComRes | Remain United | 2019-10-30 | 2019-11-05 | N | 6097 | N/A | 1 | 29 | 36 | 17 | 4 | 1 | 0 | N/A | N/A | 11 | 0 | 0
YouGov | The Times | 2019-11-01 | 2019-11-04 | N | 3284 | N/A | 1 | 25 | 38 | 16 | 4 | 1 | 0 | N/A | N/A | 11 | 0 | 0
ICM Research | Reuters | 2019-11-01 | 2019-11-04 | N | 2047 | N/A | 1 | 31 | 38 | 15 | 3 | 0 | 1 | N/A | N/A | 9 | N/A | 1
Deltapoll | The Mail on Sunday | 2019-10-31 | 2019-11-02 | N | 1500 | N/A | 1 | 28 | 40 | 14 | 3 | 1 | 1 | N/A | N/A | 11 | N/A | 0
Opinium | The Observer | 2019-10-30 | 2019-11-01 | N | 2004 | N/A | 1 | 26 | 42 | 16 | 4 | 1 | 0 | N/A | N/A | 9 | 0 | 1
YouGov | The Sunday Times | 2019-10-30 | 2019-11-01 | N | 1834 | N/A | 1 | 27 | 39 | 16 | 5 | 1 | 0 | N/A | N/A | 7 | 0 | 1
ORB | The Telegraph | 2019-10-30 | 2019-10-31 | N | 2025 | N/A | 1 | 28 | 36 | 14 | 5 | 0 | N/A | N/A | N/A | 12 | N/A | 1
ComRes | Sunday Express | 2019-10-30 | 2019-10-31 | N | 1582 | N/A | 1 | 28 | 36 | 17 | 4 | 0 | 0 | N/A | N/A | 10 | 0 | 1
Panelbase | N/A | 2019-10-30 | 2019-10-31 | N | 1008 | N/A | 1 | 29 | 40 | 14 | 3 | 1 | N/A | N/A | N/A | 9 | N/A | 1
YouGov | The Times | 2019-10-29 | 2019-10-30 | N | 1750 | N/A | 1 | 21 | 36 | 18 | 4 | 0 | N/A | N/A | N/A | 13 | N/A | 1
Survation | N/A | 2019-10-29 | 2019-10-30 | N | 1010 | N/A | 1 | 26 | 34 | 19 | 4 | 1 | N/A | N/A | N/A | 12 | N/A | 3
Ipsos MORI | N/A | 2019-10-25 | 2019-10-28 | N | 1007 | N/A | 1 | 24 | 41 | 20 | 3 | 1 | 0 | N/A | N/A | 7 | 0 | 1
YouGov | N/A | 2019-10-17 | 2019-10-28 | N | 11590 | N/A | 1 | 22 | 36 | 19 | 4 | 1 | 0 | N/A | N/A | 12 | 0 | 1
YouGov | N/A | 2019-10-24 | 2019-10-25 | N | 1672 | N/A | 1 | 23 | 36 | 18 | 3 | 1 | 0 | N/A | N/A | 12 | 0 | 1
Opinium | The Observer | 2019-10-23 | 2019-10-25 | N | 2001 | N/A | 1 | 24 | 40 | 15 | 5 | 0 | 1 | N/A | N/A | 10 | 0 | 1
YouGov | The Times | 2019-10-20 | 2019-10-21 | N | 1689 | N/A | 1 | 22 | 37 | 19 | 3 | 1 | 1 | N/A | N/A | 11 | 0 | 0
Deltapoll | N/A | 2019-10-18 | 2019-10-21 | N | 2017 | N/A | 1 | 24 | 37 | 19 | 4 | 1 | 1 | N/A | N/A | 11 | 0 | 0
Survation | Daily Mail | 2019-10-17 | 2019-10-18 | N | 1025 | N/A | 1 | 24 | 32 | 21 | 4 | 1 | 0 | N/A | N/A | 13 | 0 | 4
Panelbase | N/A | 2019-10-17 | 2019-10-18 | N | 1008 | N/A | 1 | 27 | 36 | 17 | 4 | 0 | 0 | N/A | N/A | 11 | 0 | 0
ComRes | Britain Elects | 2019-10-16 | 2019-10-17 | N | 2067 | N/A | 1 | 29 | 33 | 18 | 4 | 1 | 0 | N/A | N/A | 12 | 0 | 0
Opinium | The Observer | 2019-10-15 | 2019-10-17 | N | 2001 | N/A | 1 | 24 | 37 | 16 | 4 | 1 | 2 | N/A | N/A | 12 | 0 | 1
YouGov | The Times | 2019-10-14 | 2019-10-15 | N | 1625 | N/A | 1 | 22 | 37 | 18 | 4 | 1 | 1 | N/A | N/A | 11 | 0 | 0
Kantar Public | N/A | 2019-10-10 | 2019-10-15 | N | 1184 | N/A | 1 | 25 | 39 | 18 | 3 | 1 | 1 | N/A | N/A | 8 | 0 | 1
Panelbase | The Sunday Times | 2019-10-09 | 2019-10-11 | N | 2013 | N/A | 1 | 30 | 33 | 17 | 4 | N/A | 0 | N/A | N/A | 12 | N/A | 0
ComRes | Daily Express | 2019-10-09 | 2019-10-10 | N | 2018 | N/A | 1 | 27 | 33 | 18 | 4 | N/A | 0 | N/A | N/A | 12 | N/A | 2
YouGov | The Times | 2019-10-08 | 2019-10-09 | N | 1616 | N/A | 1 | 22 | 35 | 20 | 4 | 1 | 0 | N/A | N/A | 12 | 1 | 0
ComRes | Daily Telegraph | 2019-10-04 | 2019-10-06 | N | 2006 | N/A | 1 | 27 | 33 | 19 | 4 | 1 | 1 | N/A | N/A | 13 | N/A | 1
Opinium | The Observer | 2019-10-03 | 2019-10-04 | N | 2006 | N/A | 1 | 23 | 38 | 15 | 5 | 0 | 1 | N/A | N/A | 12 | 0 | 0
BMG Research | The Independent | 2019-10-01 | 2019-10-04 | N | 1514 | N/A | 1 | 26 | 31 | 20 | 3 | 1 | 0 | N/A | N/A | 11 | N/A | 0
YouGov | The Times | 2019-09-30 | 2019-10-01 | N | 1623 | N/A | 1 | 21 | 34 | 23 | 3 | 1 | 0 | N/A | N/A | 12 | 0 | 1
YouGov | The Sunday Times | 2019-09-26 | 2019-09-27 | N | 1623 | N/A | 1 | 22 | 33 | 21 | 4 | 1 | 0 | N/A | N/A | 13 | 0 | 1
Opinium | The Observer | 2019-09-25 | 2019-09-27 | N | 2007 | N/A | 1 | 24 | 36 | 20 | 5 | 1 | 0 | N/A | N/A | 11 | 0 | 1
Survation | Daily Mail | 2019-09-25 | 2019-09-25 | N | 1011 | N/A | 1 | 24 | 27 | 22 | 4 | N/A | N/A | N/A | N/A | 16 | N/A | 4
YouGov | The Times | 2019-09-24 | 2019-09-25 | N | 1635 | N/A | 1 | 22 | 33 | 22 | 3 | 1 | 1 | N/A | N/A | 14 | 0 | 2
ComRes | Daily Telegraph | 2019-09-24 | 2019-09-24 | N | 1027 | N/A | 1 | 27 | 27 | 20 | 4 | 1 | N/A | N/A | N/A | 13 | N/A | 4
YouGov | People's Vote | 2019-09-19 | 2019-09-20 | N | 2006 | N/A | 1 | 23 | 30 | 22 | 4 | 0 | 0 | N/A | N/A | 14 | 0 | 1
Opinium | The Observer | 2019-09-19 | 2019-09-20 | N | 2004 | N/A | 1 | 22 | 37 | 17 | 4 | 1 | 2 | N/A | N/A | 12 | 0 | 0
ComRes | Britain Elects | 2019-09-18 | 2019-09-19 | N | 2050 | N/A | 1 | 27 | 29 | 20 | 4 | 0 | 0 | N/A | N/A | 13 | 1 | 0
YouGov | The Times | 2019-09-17 | 2019-09-18 | N | 1608 | N/A | 1 | 21 | 32 | 23 | 4 | 1 | 1 | N/A | N/A | 14 | 0 | 2
Ipsos MORI | Evening Standard | 2019-09-13 | 2019-09-16 | N | 1006 | N/A | 1 | 24 | 33 | 23 | N/A | N/A | 0 | N/A | N/A | 10 | 0 | 1
ComRes | Sunday Express | 2019-09-12 | 2019-09-15 | N | 2057 | N/A | 1 | 27 | 28 | 20 | 4 | N/A | 1 | N/A | N/A | 13 | N/A | 2
Opinium | The Observer | 2019-09-11 | 2019-09-13 | N | 2002 | N/A | 1 | 25 | 37 | 16 | 4 | 1 | 1 | N/A | N/A | 13 | 0 | 0
YouGov | The Times | 2019-09-09 | 2019-09-10 | N | 1676 | N/A | 1 | 23 | 32 | 19 | 4 | 0 | 0 | N/A | N/A | 14 | 0 | 1
Kantar Public | N/A | 2019-09-05 | 2019-09-09 | N | 1144 | N/A | 1 | 24 | 38 | 20 | 4 | 1 | 1 | N/A | N/A | 7 | 1 | 1
ComRes | Daily Telegraph | 2019-09-06 | 2019-09-08 | N | 2016 | N/A | 1 | 29 | 30 | 17 | 3 | 1 | 1 | N/A | N/A | 13 | 0 | 2
Deltapoll | The Sun on Sunday | 2019-09-05 | 2019-09-07 | N | 2049 | N/A | 1 | 28 | 31 | 17 | 5 | 1 | 1 | N/A | N/A | 13 | N/A | 0
YouGov | The Sunday Times | 2019-09-05 | 2019-09-06 | N | 1676 | N/A | 1 | 21 | 35 | 19 | 4 | 0 | 1 | N/A | N/A | 12 | 0 | 1
Survation | Daily Mail | 2019-09-05 | 2019-09-06 | N | 1020 | N/A | 1 | 24 | 29 | 18 | 4 | 1 | N/A | N/A | N/A | 17 | N/A | 5
Panelbase | N/A | 2019-09-05 | 2019-09-06 | N | 1013 | N/A | 1 | 28 | 31 | 19 | 3 | 0 | 0 | N/A | N/A | 15 | 0 | 0
ComRes | Britain Elects | 2019-09-04 | 2019-09-06 | N | 2009 | N/A | 1 | 27 | 31 | 20 | 3 | 1 | 1 | N/A | N/A | 13 | N/A | 1
Opinium | The Observer | 2019-09-04 | 2019-09-06 | N | 2009 | N/A | 1 | 25 | 35 | 17 | 5 | 0 | 1 | N/A | N/A | 13 | 0 | 1
BMG Research | The Independent | 2019-09-03 | 2019-09-06 | N | 1504 | N/A | 1 | 25 | 29 | 18 | 3 | 0 | 1 | N/A | N/A | 12 | 0 | 6
Hanbury Strategy | N/A | 2019-09-03 | 2019-09-04 | N | 995 | N/A | 1 | 26 | 33 | 17 | 4 | 1 | 0 | N/A | N/A | 14 | 0 | 2
YouGov | The Times | 2019-09-02 | 2019-09-03 | N | 1639 | N/A | 1 | 25 | 35 | 16 | 4 | 1 | 1 | N/A | N/A | 11 | 0 | 0
Deltapoll | The Mail on Sunday | 2019-08-29 | 2019-08-31 | N | 2028 | N/A | 1 | 24 | 35 | 18 | 4 | 1 | 1 | N/A | N/A | 14 | 1 | 0
Survation | Daily Mail | 2019-08-29 | 2019-08-30 | N | 1020 | N/A | 1 | 24 | 31 | 21 | 4 | 1 | N/A | N/A | N/A | 14 | 0 | 3
YouGov | N/A | 2019-08-28 | 2019-08-29 | N | 1867 | N/A | 1 | 22 | 33 | 21 | 4 | 1 | 0 | N/A | N/A | 12 | 0 | 1
YouGov | The Times | 2019-08-27 | 2019-08-28 | N | 2006 | N/A | 1 | 22 | 34 | 17 | 4 | 1 | 0 | N/A | N/A | 13 | 0 | 1
YouGov | The Sunday Times | 2019-08-22 | 2019-08-23 | N | 2019 | N/A | 1 | 19 | 33 | 19 | 4 | 1 | 0 | N/A | N/A | 14 | 0 | 1
Opinium | The Observer | 2019-08-21 | 2019-08-23 | N | 2005 | N/A | 1 | 26 | 32 | 15 | 5 | 1 | 1 | N/A | N/A | 16 | 0 | 1
YouGov | The Times | 2019-08-20 | 2019-08-21 | N | 1687 | N/A | 1 | 22 | 32 | 20 | 4 | 1 | 0 | N/A | N/A | 12 | 0 | 2
Kantar Public | N/A | 2019-08-15 | 2019-08-19 | N | 1133 | N/A | 1 | 28 | 42 | 15 | 5 | 0 | 0 | N/A | N/A | 5 | 1 | 1
YouGov | The Times | 2019-08-13 | 2019-08-14 | N | 1625 | N/A | 1 | 21 | 30 | 20 | 4 | 1 | 1 | N/A | N/A | 14 | 0 | 2
BMG Research | The Independent | 2019-08-07 | 2019-08-12 | N | 1532 | N/A | 1 | 25 | 31 | 19 | 3 | 1 | 1 | N/A | N/A | 12 | 0 | 2
ComRes | Daily Telegraph | 2019-08-09 | 2019-08-11 | N | 2011 | N/A | 1 | 27 | 31 | 16 | 3 | 0 | 1 | N/A | N/A | 16 | 0 | 2
Survation | N/A | 2019-08-06 | 2019-08-11 | N | 2040 | N/A | 1 | 24 | 28 | 21 | 4 | 0 | N/A | N/A | N/A | 15 | N/A | 4
Opinium | The Observer | 2019-08-08 | 2019-08-09 | N | 2003 | N/A | 1 | 28 | 31 | 13 | 4 | 1 | 1 | N/A | N/A | 16 | 0 | 0
YouGov | The Times | 2019-08-05 | 2019-08-06 | N | 1628 | N/A | 1 | 22 | 31 | 21 | 4 | 0 | 0 | N/A | N/A | 14 | 0 | 1
YouGov | The Times | 2019-07-29 | 2019-07-30 | N | 2066 | N/A | 1 | 22 | 32 | 19 | 5 | 1 | 1 | N/A | N/A | 9 | 0 | 1
Ipsos MORI | N/A | 2019-07-26 | 2019-07-30 | N | 1007 | N/A | 1 | 24 | 34 | 20 | 4 | 1 | 1 | N/A | N/A | 12 | 0 | 0
ComRes | Britain Elects | 2019-07-26 | 2019-07-28 | N | 2004 | N/A | 1 | 30 | 29 | 16 | 3 | 1 | 1 | N/A | N/A | 15 | 0 | 2
Deltapoll | The Mail on Sunday | 2019-07-25 | 2019-07-27 | N | 2001 | N/A | 1 | 25 | 30 | 18 | 4 | 1 | 1 | N/A | N/A | 14 | 2 | 1
YouGov | The Sunday Times | 2019-07-25 | 2019-07-26 | N | 1697 | N/A | 1 | 21 | 31 | 20 | 5 | 1 | 0 | N/A | N/A | 13 | 0 | 1
Opinium | The Observer | 2019-07-24 | 2019-07-26 | N | 2006 | N/A | 1 | 28 | 30 | 16 | 5 | 1 | 1 | N/A | N/A | 15 | 0 | 1
ComRes | Sunday Express | 2019-07-24 | 2019-07-25 | N | 2029 | N/A | 1 | 27 | 28 | 19 | 3 | 1 | 1 | N/A | N/A | 16 | 0 | 0
YouGov | The Times | 2019-07-23 | 2019-07-24 | N | 1715 | N/A | 1 | 19 | 25 | 23 | 4 | 1 | 1 | N/A | N/A | 17 | 0 | 3
YouGov | The Times | 2019-07-16 | 2019-07-17 | N | 1749 | N/A | 1 | 21 | 25 | 20 | 4 | 1 | 0 | N/A | N/A | 19 | 0 | 1
ComRes | N/A | 2019-07-15 | 2019-07-16 | N | 2038 | N/A | 1 | 28 | 25 | 17 | 4 | 0 | 1 | N/A | N/A | 19 | 1 | 1
ComRes | The Express | 2019-07-10 | 2019-07-11 | N | 1791 | N/A | 1 | 28 | 24 | 15 | 3 | 1 | 1 | N/A | N/A | 20 | 1 | 2
Survation | N/A | 2019-07-10 | 2019-07-11 | N | 1012 | N/A | 1 | 29 | 23 | 19 | 4 | 1 | N/A | N/A | N/A | 20 | N/A | 2
YouGov | The Times | 2019-07-09 | 2019-07-10 | N | 1671 | N/A | 1 | 20 | 24 | 19 | 5 | 1 | 0 | N/A | N/A | 21 | 0 | 1
ComRes | Daily Telegraph | 2019-07-05 | 2019-07-07 | N | 2010 | N/A | 1 | 28 | 25 | 16 | 3 | 0 | 1 | N/A | N/A | 19 | 0 | 1
Opinium | The Observer | 2019-07-03 | 2019-07-05 | N | 2002 | N/A | 1 | 25 | 23 | 15 | 5 | 1 | 1 | N/A | N/A | 22 | 1 | 0
BMG Research | The Independent | 2019-07-02 | 2019-07-05 | N | 1532 | N/A | 1 | 27 | 28 | 18 | 2 | 1 | 2 | N/A | N/A | 14 | 1 | 0
YouGov | The Times | 2019-07-02 | 2019-07-03 | N | 1605 | N/A | 1 | 18 | 24 | 20 | 4 | 1 | 0 | N/A | N/A | 23 | 0 | 1
YouGov | The Times | 2019-06-24 | 2019-06-25 | N | 2059 | N/A | 1 | 20 | 22 | 19 | 4 | 1 | 1 | N/A | N/A | 22 | 0 | 1
Ipsos MORI | N/A | 2019-06-21 | 2019-06-25 | N | 1043 | N/A | 1 | 24 | 26 | 22 | 4 | 1 | 1 | N/A | N/A | 12 | 0 | 0
Survation | Daily Mail on Sunday | 2019-06-19 | 2019-06-20 | N | 2016 | N/A | 1 | 26 | 24 | 18 | 3 | 1 | 1 | N/A | N/A | 20 | 1 | 1
Opinium | The Observer | 2019-06-19 | 2019-06-20 | N | 2009 | N/A | 1 | 26 | 20 | 16 | 4 | 1 | 2 | N/A | N/A | 23 | 1 | 1
YouGov | The Sunday Times | 2019-06-13 | 2019-06-14 | N | 1672 | N/A | 1 | 21 | 21 | 19 | 3 | 1 | 0 | N/A | N/A | 24 | 0 | 1
YouGov | The Times | 2019-06-09 | 2019-06-10 | N | 1702 | N/A | 1 | 19 | 17 | 22 | 4 | 1 | 0 | N/A | N/A | 26 | 1 | 1
ComRes | Daily Telegraph | 2019-06-07 | 2019-06-09 | N | 2017 | N/A | 1 | 27 | 23 | 17 | 3 | 1 | 1 | N/A | N/A | 22 | 1 | 1
BMG Research | The Independent | 2019-06-04 | 2019-06-07 | N | 1520 | N/A | 1 | 27 | 26 | 17 | 3 | 1 | 1 | N/A | N/A | 18 | 1 | 1
YouGov | The Times | 2019-06-04 | 2019-06-06 | N | N/A | N/A | 1 | 20 | 18 | 20 | 5 | 0 | N/A | N/A | N/A | 26 | 0 | 2
Deltapoll | The Mail on Sunday | 2019-05-29 | 2019-05-30 | N | 2449 | N/A | 1 | 26 | 20 | 16 | 4 | 1 | 1 | N/A | N/A | 24 | 4 | 1
Opinium | The Observer | 2019-05-28 | 2019-05-30 | N | 2005 | N/A | 1 | 22 | 17 | 16 | 4 | 1 | 1 | N/A | N/A | 26 | 1 | 1
YouGov | The Times | 2019-05-28 | 2019-05-29 | N | 1763 | N/A | 1 | 19 | 19 | 24 | N/A | N/A | 1 | N/A | N/A | 22 | 1 | 0
Lord Ashcroft | N/A | 2019-05-23 | 2019-05-24 | N | 10000 | N/A | 1 | 21 | 18 | 17 | N/A | N/A | 3 | N/A | N/A | 18 | 4 | N/A
Survation | Daily Mail | 2019-05-22 | 2019-05-22 | N | 2029 | N/A | 1 | 33 | 28 | 13 | 3 | 0 | 3 | N/A | N/A | 12 | 2 | 3
Survation | Daily Mail | 2019-05-22 | 2019-05-22 | E | 2029 | N/A | 1 | 23 | 14 | 12 | 3 | N/A | 3 | N/A | N/A | 31 | 4 | 4
BMG Research | The Independent | 2019-05-20 | 2019-05-22 | E | 1601 | N/A | 1 | 18 | 12 | 17 | 3 | 1 | 2 | N/A | N/A | 35 | 4 | 1
Ipsos MORI | N/A | 2019-05-20 | 2019-05-22 | E | 1527 | N/A | 1 | 15 | 9 | 20 | 3 | 0 | 3 | N/A | N/A | 35 | 3 | 3
YouGov | The Times | 2019-05-19 | 2019-05-21 | E | 3864 | N/A | 1 | 13 | 7 | 19 | 3 | 1 | 3 | N/A | N/A | 37 | 4 | 2
Number Cruncher Politics | N/A | 2019-05-18 | 2019-05-21 | E | 1005 | N/A | 1 | 19 | 15 | 16 | 4 | 1 | 2 | N/A | N/A | 33 | 4 | 1
Kantar | N/A | 2019-05-14 | 2019-05-21 | E | 2316 | N/A | 1 | 24 | 13 | 15 | 3 | 0 | 4 | N/A | N/A | 27 | 5 | 1
Panelbase | The Sunday Times | 2019-05-14 | 2019-05-21 | E | 2033 | N/A | 1 | 25 | 12 | 15 | 4 | N/A | 3 | N/A | N/A | 30 | 3 | 1
Panelbase | The Sunday Times | 2019-05-14 | 2019-05-21 | N | 2033 | N/A | 1 | 31 | 21 | 13 | 4 | N/A | 3 | N/A | N/A | 19 | 4 | N/A
Opinium | The Times | 2019-05-17 | 2019-05-20 | E | 2005 | N/A | 1 | 17 | 12 | 15 | N/A | N/A | 2 | N/A | N/A | 38 | 3 | N/A
Opinium | The Times | 2019-05-17 | 2019-05-20 | N | 2005 | N/A | 1 | 26 | 22 | 12 | 4 | 1 | 2 | N/A | N/A | 25 | 2 | 0
Survation | Daily Mail | 2019-05-17 | 2019-05-17 | E | 1000 | N/A | 1 | 24 | 12 | 12 | 4 | 1 | 3 | N/A | N/A | 30 | 3 | 4
Survation | Daily Mail | 2019-05-17 | 2019-05-17 | N | 1000 | N/A | 1 | 32 | 27 | 13 | 5 | 0 | 2 | N/A | N/A | 13 | 2 | 4
ComRes | Electoral Calculus | 2019-05-13 | 2019-05-17 | E | 4161 | N/A | 1 | 22 | 9 | 14 | 3 | 1 | 3 | N/A | N/A | 32 | 5 | 1
YouGov | Best For Britain and Hope Not Hate | 2019-05-08 | 2019-05-17 | E | 9260 | N/A | 1 | 15 | 9 | 17 | 3 | 1 | 3 | N/A | N/A | 34 | 4 | 3
YouGov | Best For Britain and Hope Not Hate | 2019-05-08 | 2019-05-17 | N | 9260 | N/A | 1 | 24 | 24 | 18 | N/A | N/A | 2 | N/A | N/A | 18 | 2 | 1
ComRes | Sunday Express and Mirror | 2019-05-15 | 2019-05-16 | E | 2041 | N/A | 1 | 23 | 9 | 16 | 3 | 1 | 2 | N/A | N/A | 31 | 4 | 1
Opinium | The Observer | 2019-05-14 | 2019-05-16 | N | 2009 | N/A | 1 | 29 | 22 | 11 | 4 | 0 | 2 | N/A | N/A | 24 | 3 | 1
Opinium | The Observer | 2019-05-14 | 2019-05-16 | E | 2009 | N/A | 1 | 20 | 12 | 15 | 4 | N/A | 2 | N/A | N/A | 34 | 3 | N/A
Opinium | The Observer | 2019-05-14 | 2019-05-16 | N | 2009 | N/A | 1 | 29 | 22 | 11 | 4 | 0 | 2 | N/A | N/A | 24 | 3 | 1
YouGov | The Times | 2019-05-12 | 2019-05-16 | E | 7192 | N/A | 1 | 15 | 9 | 16 | N/A | N/A | 3 | N/A | N/A | 35 | 5 | N/A
YouGov | The Times | 2019-05-13 | 2019-05-14 | N | 1655 | N/A | 1 | 25 | 25 | 16 | N/A | N/A | 2 | N/A | N/A | 18 | 2 | 1
Ipsos MORI | N/A | 2019-05-10 | 2019-05-14 | N | 1072 | N/A | 1 | 27 | 25 | 15 | 4 | 1 | 3 | N/A | N/A | 16 | 2 | 3
Hanbury Strategy | N/A | 2019-05-09 | 2019-05-13 | E | 2000 | N/A | 1 | 25 | 13 | 14 | 4 | 0 | 3 | N/A | N/A | 30 | 6 | 0
Hanbury Strategy | N/A | 2019-05-09 | 2019-05-13 | N | 2000 | N/A | 1 | 30 | 21 | 13 | 4 | N/A | 2 | N/A | N/A | 19 | 6 | 1
Kantar Public | N/A | 2019-05-09 | 2019-05-13 | N | 1152 | N/A | 1 | 34 | 25 | 15 | 5 | 2 | 4 | N/A | N/A | 10 | 1 | 1
ComRes | Daily Telegraph | 2019-05-10 | 2019-05-12 | E | 2028 | N/A | 1 | 25 | 15 | 13 | 3 | 0 | 3 | N/A | N/A | 27 | 6 | 1
ComRes | Daily Telegraph | 2019-05-10 | 2019-05-12 | N | 2028 | N/A | 1 | 27 | 20 | 13 | 3 | N/A | 4 | N/A | N/A | 20 | 6 | 1
Opinium | The Observer | 2019-05-08 | 2019-05-10 | N | 2004 | N/A | 1 | 28 | 22 | 11 | N/A | N/A | 4 | N/A | N/A | 21 | 4 | 0
Opinium | The Observer | 2019-05-08 | 2019-05-10 | E | 2004 | N/A | 1 | 21 | 11 | 12 | 4 | 1 | 4 | N/A | N/A | 34 | 3 | 2
BMG Research | N/A | 2019-05-07 | 2019-05-10 | E | 1541 | N/A | 1 | 22 | 12 | 19 | N/A | N/A | 3 | N/A | N/A | 26 | 3 | 1
BMG Research | N/A | 2019-05-07 | 2019-05-10 | N | 1541 | N/A | 1 | 30 | 27 | 18 | N/A | N/A | 3 | N/A | N/A | 10 | 3 | N/A
ComRes | Brexit Express | 2019-05-09 | 2019-05-09 | N | 2034 | N/A | 1 | 27 | 19 | 15 | 3 | 1 | 3 | N/A | N/A | 20 | 7 | 1
ComRes | Brexit Express | 2019-05-09 | 2019-05-09 | E | 2034 | N/A | 1 | 25 | 13 | 14 | 3 | 0 | 3 | N/A | N/A | 27 | 6 | 1
YouGov | The Times | 2019-05-08 | 2019-05-09 | E | 2212 | N/A | 1 | 16 | 10 | 15 | 3 | 1 | 3 | N/A | N/A | 34 | 5 | 3
