Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ND | SYRIZA | PASOK-KINAL | ChA | KKE | EK | ANEL | LAE - AA | PE | Potami | EL | MeRA25 | EKE | ED | EAN… | Níki | Spartiátes | Other
Marc | ANT1 | 2021-11-08 | 2021-11-13 | N | 1003 | N/A | 0.1 | 42.1 | 26.6 | 10.2 | N/A | 7.2 | N/A | N/A | N/A | N/A | N/A | 5.3 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Το Βήμα | 2021-11-01 | 2021-11-09 | N | 2511 | N/A | 0.1 | 36.9 | 24.1 | 12.9 | 1.6 | 6.7 | N/A | N/A | N/A | N/A | N/A | 5.7 | 5.3 | 1.8 | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2021-11-03 | 2021-11-08 | N | 1734 | N/A | 0.1 | 40.0 | 26.3 | 10.3 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 5.9 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2021-10-27 | 2021-10-29 | N | 1000 | N/A | 0.1 | 41.6 | 28.7 | 8.3 | N/A | 6.8 | N/A | N/A | N/A | N/A | N/A | 4.1 | 3.4 | 2.1 | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2021-10-22 | 2021-10-25 | N | 1907 | N/A | 0.1 | 40.1 | 27.3 | 9.3 | N/A | 5.8 | N/A | N/A | N/A | N/A | N/A | 4.1 | 3.5 | 1.7 | N/A | N/A | N/A | N/A | N/A
Opinion Poll | Mononews | 2021-10-13 | 2021-10-19 | N | 1005 | N/A | 0.1 | 43.7 | 27.3 | 7.5 | N/A | 6.5 | N/A | N/A | N/A | 1.5 | N/A | 5.0 | 2.8 | 1.6 | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2021-10-11 | 2021-10-16 | N | 1000 | N/A | 0.1 | 39.7 | 28.3 | 7.3 | N/A | 6.0 | N/A | N/A | N/A | 1.8 | N/A | 5.0 | 4.6 | 1.5 | N/A | N/A | N/A | N/A | N/A
Interview | Political | 2021-10-11 | 2021-10-14 | N | 1115 | N/A | 0.1 | 40.0 | 25.3 | 7.9 | N/A | 6.2 | N/A | N/A | N/A | 1.8 | N/A | 5.4 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2021-10-05 | 2021-10-12 | N | 1131 | N/A | 0.1 | 40.7 | 31.1 | 7.8 | N/A | 5.4 | N/A | N/A | N/A | N/A | N/A | 3.6 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | ANT1 | 2021-10-06 | 2021-10-11 | N | 1007 | N/A | 0.1 | 42.8 | 27.1 | 7.7 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 5.4 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2021-09-27 | 2021-09-30 | N | 1105 | N/A | 0.1 | 39.9 | 27.2 | 8.0 | N/A | 5.6 | N/A | N/A | N/A | N/A | N/A | 4.8 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2021-09-21 | 2021-09-27 | N | 1200 | N/A | 0.1 | 41.0 | 26.2 | 8.0 | N/A | 6.8 | N/A | N/A | N/A | N/A | N/A | 5.3 | 5.5 | 1.9 | N/A | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2021-09-20 | 2021-09-24 | N | 1000 | N/A | 0.1 | 41.3 | 29.3 | 7.0 | N/A | 7.3 | N/A | N/A | N/A | N/A | N/A | 4.0 | 3.4 | 1.9 | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2021-09-19 | 2021-09-23 | N | 1029 | N/A | 0.1 | 42.2 | 28.2 | 7.4 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 5.5 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2021-09-20 | 2021-09-21 | N | 1000 | N/A | 0.1 | 40.6 | 28.6 | 8.1 | 1.2 | 5.9 | N/A | N/A | N/A | 1.3 | N/A | 4.6 | 4.2 | 2.1 | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2021-09-19 | 2021-09-21 | N | 2018 | N/A | 0.1 | 39.7 | 27.6 | 7.5 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.4 | 1.7 | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2021-09-13 | 2021-09-17 | N | 1000 | N/A | 0.1 | 39.1 | 27.4 | 8.0 | 1.4 | 6.5 | N/A | N/A | N/A | 1.8 | N/A | 5.3 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2021-09-13 | 2021-09-15 | N | 1000 | N/A | 0.1 | 41.3 | 29.0 | 7.5 | N/A | 6.8 | N/A | N/A | N/A | N/A | N/A | 4.2 | 3.5 | 1.3 | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2021-09-13 | 2021-09-15 | N | 1000 | N/A | 0.1 | 41.4 | 28.4 | 8.4 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 4.4 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | Political | 2021-09-02 | 2021-09-07 | N | 1002 | N/A | 0.1 | 44.6 | 26.9 | 7.9 | N/A | 7.0 | N/A | N/A | N/A | N/A | N/A | 4.5 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2021-08-23 | 2021-08-27 | N | 1325 | N/A | 0.1 | 39.7 | 25.4 | 7.0 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 5.1 | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Τα Νέα | 2021-08-20 | 2021-08-25 | N | 1000 | N/A | 0.1 | 40.2 | 28.4 | 7.5 | N/A | 7.0 | N/A | N/A | N/A | N/A | N/A | 4.8 | 3.5 | 1.7 | N/A | N/A | N/A | N/A | N/A
Prorata | iEidiseis | 2021-08-23 | 2021-08-24 | N | 1800 | N/A | 0.1 | 40.0 | 30.3 | 7.9 | N/A | 5.5 | N/A | N/A | N/A | N/A | N/A | 4.2 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2021-07-12 | 2021-07-17 | N | 1000 | N/A | 0.1 | 41.7 | 27.2 | 7.9 | N/A | 6.2 | N/A | N/A | N/A | 1.8 | N/A | 5.2 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A
Prorata | N/A | 2021-07-07 | 2021-07-11 | N | 1735 | N/A | 0.1 | 41.3 | 29.3 | 8.4 | N/A | 4.8 | N/A | N/A | N/A | N/A | N/A | 3.6 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2021-07-07 | 2021-07-10 | N | 1000 | N/A | 0.1 | 42.8 | 28.5 | 7.7 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 4.3 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | tomanifesto.gr | 2021-06-30 | 2021-07-07 | N | 1002 | N/A | 0.1 | 46.4 | 25.8 | 8.0 | N/A | 7.0 | N/A | N/A | N/A | N/A | N/A | 4.3 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2021-06-27 | 2021-07-07 | N | 2611 | N/A | 0.1 | 41.4 | 26.4 | 7.5 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 5.2 | 4.0 | 1.1 | N/A | N/A | N/A | N/A | N/A
MRB | N/A | 2021-06-23 | 2021-07-01 | N | 2000 | N/A | 0.1 | 43.6 | 28.3 | 8.4 | 1.4 | 6.2 | N/A | N/A | N/A | N/A | N/A | 4.2 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Τα Νέα | 2021-06-26 | 2021-06-29 | N | 1000 | N/A | 0.1 | 42.9 | 28.4 | 7.9 | N/A | 7.1 | N/A | N/A | N/A | N/A | N/A | 4.8 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2021-06-18 | 2021-06-24 | N | 1000 | N/A | 0.1 | 45.7 | 25.8 | 7.8 | N/A | 6.7 | N/A | N/A | N/A | N/A | N/A | 4.3 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2021-06-17 | 2021-06-23 | N | 1211 | N/A | 0.1 | 42.0 | 25.2 | 8.0 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2021-06-15 | 2021-06-19 | N | 1000 | N/A | 0.1 | 43.2 | 28.1 | 8.0 | N/A | 6.4 | N/A | N/A | N/A | 1.8 | N/A | 4.7 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2021-06-03 | 2021-06-05 | N | 1000 | N/A | 0.1 | 42.6 | 27.8 | 8.2 | N/A | 7.2 | N/A | N/A | N/A | N/A | N/A | 4.1 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2021-05-31 | 2021-06-02 | N | 1304 | N/A | 0.1 | 41.9 | 27.0 | 7.5 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 4.6 | 4.0 | 1.1 | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2021-05-18 | 2021-05-28 | N | 1605 | N/A | 0.1 | 46.6 | 24.8 | 8.4 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2021-05-18 | 2021-05-24 | N | 1202 | N/A | 0.1 | 43.1 | 25.5 | 7.6 | N/A | 6.7 | N/A | N/A | N/A | N/A | N/A | 5.1 | 6.0 | 1.8 | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2021-05-17 | 2021-05-21 | N | 1000 | N/A | 0.1 | 43.3 | 27.9 | 7.9 | N/A | 6.0 | N/A | N/A | N/A | 1.3 | N/A | 4.7 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2021-05-11 | 2021-05-17 | N | 1405 | N/A | 0.1 | 42.0 | 24.4 | 8.1 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 5.8 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2021-05-05 | 2021-05-07 | N | 1005 | N/A | 0.1 | 43.4 | 27.3 | 8.5 | N/A | 7.2 | N/A | N/A | N/A | N/A | N/A | 4.6 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2021-04-22 | 2021-04-27 | N | 1025 | N/A | 0.1 | 44.7 | 25.8 | 8.4 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 5.3 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2021-04-23 | 2021-04-25 | N | 1305 | N/A | 0.1 | 42.1 | 27.5 | 7.6 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 4.6 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2021-04-19 | 2021-04-23 | N | 1001 | N/A | 0.1 | 46.7 | 26.1 | 8.0 | N/A | 5.9 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2021-04-19 | 2021-04-22 | N | 1205 | N/A | 0.1 | 42.3 | 25.5 | 7.7 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 5.5 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2021-04-13 | 2021-04-19 | N | 1115 | N/A | 0.1 | 42.3 | 25.3 | 7.7 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 5.9 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2021-04-12 | 2021-04-16 | N | 1000 | N/A | 0.1 | 43.3 | 27.6 | 6.8 | N/A | 6.5 | N/A | N/A | N/A | 1.6 | N/A | 4.9 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2021-04-06 | 2021-04-09 | N | 1000 | N/A | 0.1 | 42.5 | 27.8 | 8.3 | N/A | 7.6 | N/A | N/A | N/A | N/A | N/A | 4.7 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2021-03-31 | 2021-04-06 | N | 1000 | N/A | 0.1 | 41.5 | 30.2 | 7.5 | N/A | 5.7 | N/A | N/A | N/A | N/A | N/A | 3.8 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2021-03-26 | 2021-03-28 | N | 1306 | N/A | 0.1 | 41.1 | 28.2 | 7.6 | N/A | 5.9 | N/A | N/A | N/A | N/A | N/A | 5.3 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Alpha TV | 2021-03-19 | 2021-03-22 | N | 1003 | N/A | 0.1 | 45.2 | 25.7 | 8.1 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 5.3 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2021-03-17 | 2021-03-22 | N | 1105 | N/A | 0.1 | 42.7 | 25.4 | 7.5 | N/A | 5.0 | N/A | N/A | N/A | N/A | N/A | 5.9 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2021-03-16 | 2021-03-22 | N | 1205 | N/A | 0.1 | 43.4 | 27.5 | 8.1 | N/A | 5.9 | N/A | N/A | N/A | N/A | N/A | 5.8 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2021-03-12 | 2021-03-17 | N | 1000 | N/A | 0.1 | 42.8 | 26.7 | 7.0 | N/A | 6.9 | N/A | N/A | N/A | 1.7 | N/A | 4.9 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2021-03-03 | 2021-03-05 | N | 1000 | N/A | 0.1 | 43.2 | 27.2 | 8.5 | N/A | 7.5 | N/A | N/A | N/A | N/A | N/A | 4.9 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Τα Νέα | 2021-03-01 | 2021-03-03 | N | 1000 | N/A | 0.1 | 43.5 | 27.2 | 8.5 | N/A | 7.5 | N/A | N/A | N/A | N/A | N/A | 4.9 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2021-03-01 | 2021-03-03 | N | 1000 | N/A | 0.1 | 45.0 | 28.4 | 7.2 | N/A | 5.8 | N/A | N/A | N/A | N/A | N/A | 5.7 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2021-02-26 | 2021-02-28 | N | 1306 | N/A | 0.1 | 42.1 | 25.7 | 8.2 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | Political | 2021-02-22 | 2021-02-26 | N | 1001 | N/A | 0.1 | 46.4 | 25.1 | 8.4 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2021-02-14 | 2021-02-22 | N | 1000 | N/A | 0.1 | 41.8 | 30.3 | 7.0 | N/A | 5.7 | N/A | N/A | N/A | N/A | N/A | 3.2 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2021-02-15 | 2021-02-19 | N | 1003 | N/A | 0.1 | 46.3 | 25.1 | 8.8 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 5.5 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2021-02-15 | 2021-02-18 | N | 1000 | N/A | 0.1 | 43.2 | 26.7 | 7.5 | N/A | 6.3 | N/A | N/A | N/A | 1.5 | N/A | 5.2 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2021-02-15 | 2021-02-17 | N | 1205 | N/A | 0.1 | 43.2 | 23.5 | 9.1 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 5.7 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2021-01-25 | 2021-01-27 | N | 1706 | N/A | 0.1 | 42.8 | 25.4 | 8.1 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2021-01-19 | 2021-01-25 | N | 1200 | N/A | 0.1 | 46.3 | 25.3 | 8.2 | N/A | 7.3 | N/A | N/A | N/A | N/A | N/A | 4.6 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2021-01-19 | 2021-01-20 | N | 1000 | N/A | 0.1 | 44.1 | 27.6 | 7.3 | N/A | 7.2 | N/A | N/A | N/A | N/A | N/A | 4.7 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2021-01-14 | 2021-01-19 | N | 1000 | N/A | 0.1 | 44.2 | 27.1 | 6.7 | N/A | 6.5 | N/A | N/A | N/A | 1.5 | N/A | 4.6 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Αlpha TV | 2021-01-07 | 2021-01-11 | N | 1010 | N/A | 0.1 | 48.3 | 25.0 | 8.1 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 4.8 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | Political | 2021-01-04 | 2021-01-08 | N | 1004 | N/A | 0.1 | 47.8 | 26.5 | 8.1 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 4.0 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2020-12-12 | 2020-12-16 | N | 2418 | N/A | 0.1 | 43.9 | 26.6 | 7.5 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 4.6 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2020-11-27 | 2020-12-11 | N | 2000 | N/A | 0.1 | 44.9 | 27.2 | 7.9 | 1.2 | 5.9 | N/A | N/A | N/A | N/A | N/A | 4.8 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2020-12-03 | 2020-12-09 | N | 1000 | N/A | 0.1 | 44.1 | 26.2 | 8.0 | N/A | 6.5 | N/A | N/A | N/A | 1.7 | N/A | 4.9 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Political | 2020-12-03 | 2020-12-07 | N | 1205 | N/A | 0.1 | 44.8 | 24.7 | 8.0 | N/A | 5.5 | N/A | N/A | N/A | N/A | N/A | 5.5 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2020-11-26 | 2020-12-02 | N | 1100 | N/A | 0.1 | 45.2 | 25.4 | 8.0 | N/A | 5.4 | N/A | N/A | N/A | N/A | N/A | 5.9 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A
Prorata | N/A | 2020-11-24 | 2020-11-27 | N | 2726 | N/A | 0.1 | 44.2 | 29.4 | 6.1 | N/A | 5.5 | N/A | N/A | N/A | N/A | N/A | 3.7 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2020-11-24 | 2020-11-26 | N | 1312 | N/A | 0.5 | 44.0 | 25.5 | 7.5 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 6.0 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2020-11-22 | 2020-11-24 | N | 1004 | N/A | 0.1 | 47.0 | 27.1 | 7.1 | N/A | 5.6 | N/A | N/A | N/A | N/A | N/A | 5.3 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | MEGA TV | 2020-11-18 | 2020-11-24 | N | 1205 | N/A | 0.1 | 45.8 | 24.8 | 8.0 | N/A | 6.3 | 1.4 | N/A | N/A | N/A | N/A | 5.5 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A
Κάπα Research | N/A | 2020-11-17 | 2020-11-19 | N | 1054 | N/A | 0.1 | 45.7 | 28.6 | 7.3 | N/A | 6.2 | N/A | N/A | N/A | N/A | N/A | 4.2 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2020-11-10 | 2020-11-13 | N | 1000 | N/A | 0.1 | 44.5 | 28.9 | 7.6 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 4.3 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2020-11-06 | 2020-11-11 | N | 1000 | N/A | 0.1 | 43.4 | 25.9 | 8.3 | 1.3 | 6.7 | N/A | N/A | N/A | 1.3 | N/A | 3.6 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2020-11-04 | 2020-11-11 | N | 1000 | N/A | 0.1 | 48.6 | 24.4 | 8.4 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 4.0 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Action24 | 2020-10-26 | 2020-10-28 | N | 1000 | N/A | 0.1 | 45.6 | 28.1 | 8.3 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 3.7 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2020-10-18 | 2020-10-22 | N | 1000 | N/A | 0.1 | 45.1 | 25.5 | 7.6 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 4.9 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2020-10-16 | 2020-10-21 | N | 1184 | N/A | 0.1 | 45.5 | 22.1 | 8.4 | N/A | 5.8 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2020-10-11 | 2020-10-15 | N | 1000 | N/A | 0.1 | 49.9 | 23.8 | 8.8 | N/A | 6.8 | N/A | N/A | N/A | N/A | N/A | 4.2 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Αlpha TV | 2020-10-10 | 2020-10-14 | N | 1007 | N/A | 0.1 | 48.9 | 24.3 | 8.1 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 4.1 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2020-10-06 | 2020-10-10 | N | 1000 | N/A | 0.1 | 43.1 | 25.8 | 7.5 | 2.2 | 6.0 | N/A | N/A | N/A | 1.4 | N/A | 4.8 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | MEGA TV | 2020-09-23 | 2020-09-29 | N | 1202 | N/A | 0.1 | 47.9 | 25.5 | 6.9 | N/A | 5.9 | N/A | N/A | N/A | N/A | N/A | 5.7 | 3.4 | 1.5 | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2020-09-22 | 2020-09-23 | N | 1305 | N/A | 0.1 | 45.4 | 26.4 | 7.5 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 4.6 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2020-09-21 | 2020-09-23 | N | 1112 | N/A | 0.1 | 45.4 | 22.9 | 8.6 | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2020-09-21 | 2020-09-23 | N | 1009 | N/A | 0.1 | 48.0 | 25.8 | 6.2 | N/A | 5.8 | N/A | N/A | N/A | N/A | N/A | 5.0 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2020-09-14 | 2020-09-16 | N | 1000 | N/A | 0.1 | 44.4 | 25.2 | 7.8 | N/A | 6.1 | N/A | N/A | N/A | 1.7 | N/A | 5.2 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2020-09-14 | 2020-09-16 | N | 1000 | N/A | 0.1 | 46.6 | 26.8 | 8.1 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 3.9 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2020-09-10 | 2020-09-12 | N | 1527 | N/A | 0.1 | 49.9 | 24.6 | 8.0 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 3.7 | 1.9 | 1.6 | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2020-09-07 | 2020-09-10 | N | 1002 | N/A | 0.1 | 51.1 | 24.7 | 7.4 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 3.8 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Τα Νέα | 2020-08-30 | 2020-09-02 | N | 1000 | N/A | 0.1 | 46.9 | 26.7 | 8.3 | N/A | 6.2 | N/A | N/A | N/A | N/A | N/A | 4.2 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2020-07-13 | 2020-07-15 | N | 1112 | N/A | 0.1 | 47.4 | 24.1 | 7.4 | N/A | 5.2 | N/A | N/A | N/A | N/A | N/A | 5.2 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Αlpha TV | 2020-07-10 | 2020-07-13 | N | 1020 | N/A | 0.1 | 50.1 | 24.6 | 6.9 | 1.2 | 6.0 | N/A | N/A | N/A | N/A | N/A | 4.1 | 2.3 | 1.2 | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2020-07-06 | 2020-07-08 | N | 1305 | N/A | 0.1 | 46.5 | 26.0 | 7.0 | 1.0 | 6.0 | N/A | N/A | N/A | N/A | N/A | 4.0 | 3.0 | 1.1 | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2020-06-29 | 2020-07-04 | N | 1000 | N/A | 0.1 | 46.1 | 27.7 | 6.9 | N/A | 6.0 | N/A | N/A | N/A | 1.3 | N/A | 3.7 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2020-07-01 | 2020-07-03 | N | 1100 | N/A | 0.1 | 49.1 | 24.7 | 6.9 | 1.4 | 6.0 | N/A | N/A | N/A | 1.4 | N/A | 4.2 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Κάπα Research | N/A | 2020-07-02 | 2020-07-02 | N | 1000 | N/A | 0.1 | 47.3 | 27.0 | 6.5 | 1.7 | 5.2 | N/A | N/A | N/A | N/A | N/A | 3.8 | 3.1 | 2.2 | N/A | N/A | N/A | N/A | N/A
Marc | N/A | 2020-07-01 | 2020-07-02 | N | 2000 | N/A | 0.1 | 52.2 | 25.5 | 7.0 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 4.4 | 2.5 | 1.2 | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Το Βήμα | 2020-06-24 | 2020-06-29 | N | 1388 | N/A | 0.1 | 50.1 | 25.7 | 7.0 | N/A | 7.6 | N/A | N/A | N/A | N/A | N/A | 3.9 | 4.0 | 1.8 | N/A | N/A | N/A | N/A | N/A
