Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | H | Ap | FrP | Sp | SV | V | KrF | MDG | R | ND | INP | Lib | Pp | K | Kp | Hp | FP | Other
Norfakta | Klassekampen and Nationen | 2021-02-02 | 2021-02-03 | N | 1000 | N/A | 0.1 | 27.3 | 21.3 | 6.4 | 19.7 | 7.5 | 4.0 | 2.7 | 5.0 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Respons Analyse | VG | 2021-01-27 | 2021-02-02 | N | 1000 | N/A | 0.1 | 26.3 | 22.8 | 8.7 | 18.8 | 7.3 | 1.9 | 3.4 | 3.8 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Norstat | Aftenposten and NRK | 2021-01-25 | 2021-01-31 | N | 945 | 74.7 | 0.1 | 22.8 | 20.7 | 8.3 | 21.9 | 8.3 | 2.4 | 3.5 | 4.8 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
Kantar TNS | TV2 | 2021-01-25 | 2021-01-29 | N | 974 | 76.2 | 0.1 | 25.3 | 20.0 | 7.7 | 19.9 | 5.9 | 4.2 | 2.8 | 5.0 | 5.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Ipsos MMI | Dagbladet | 2021-01-25 | 2021-01-27 | N | 1000 | 73.4 | 0.1 | 25.4 | 20.4 | 9.5 | 21.4 | 7.7 | 2.5 | 2.9 | 1.8 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Norstat | Aftenposten and NRK | 2021-01-18 | 2021-01-24 | N | 954 | N/A | 0.1 | 25.6 | 24.2 | 10.0 | 19.6 | 7.6 | 1.6 | 2.7 | 3.0 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9
Sentio | Amedia and Nettavisen | 2021-01-12 | 2021-01-16 | N | 1000 | N/A | 0.1 | 23.0 | 21.3 | 8.4 | 19.6 | 7.8 | 2.6 | 2.9 | 6.4 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.6
InFact | Amedia and Nettavisen | 2021-01-13 | 2021-01-13 | N | 3245 | N/A | 0.1 | 24.1 | 18.4 | 8.6 | 20.5 | 8.7 | 2.1 | 4.7 | 5.8 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2021-01-13 | 2021-01-13 | N | N/A | N/A | 0.1 | 26.9 | 19.0 | 9.8 | 20.1 | 8.0 | 2.7 | 3.4 | 3.4 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Kantar TNS | TV2 | 2021-01-04 | 2021-01-08 | N | 976 | N/A | 0.1 | 24.2 | 22.4 | 7.4 | 21.7 | 7.6 | 2.3 | 3.3 | 3.4 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Norfakta | Klassekampen and Nationen | 2021-01-05 | 2021-01-06 | N | 1001 | 78.0 | 0.1 | 24.3 | 17.5 | 11.1 | 22.6 | 8.2 | 2.7 | 3.4 | 4.5 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Respons Analyse | VG | 2021-01-04 | 2021-01-06 | N | 1000 | N/A | 0.1 | 26.5 | 20.5 | 9.3 | 19.2 | 7.7 | 3.4 | 3.4 | 3.8 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Norstat | Aftenposten and NRK | 2020-12-28 | 2021-01-02 | N | 962 | N/A | 0.1 | 22.6 | 20.1 | 11.3 | 21.3 | 8.9 | 2.5 | 3.7 | 3.9 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Ipsos MMI | Dagbladet | 2020-12-14 | 2020-12-16 | N | 1000 | 73.2 | 0.1 | 18.9 | 21.1 | 12.9 | 22.3 | 7.5 | 3.5 | 3.8 | 3.9 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Norstat | Aftenposten and NRK | 2020-12-07 | 2020-12-13 | N | 952 | N/A | 0.1 | 21.8 | 21.4 | 12.1 | 21.3 | 8.0 | 3.1 | 3.8 | 3.8 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2020-12-01 | 2020-12-07 | N | 962 | 72.0 | 0.1 | 22.9 | 21.8 | 10.9 | 22.2 | 6.9 | 2.4 | 3.4 | 4.5 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
Norfakta | Klassekampen and Nationen | 2020-12-01 | 2020-12-02 | N | 1000 | 81.0 | 0.1 | 23.0 | 21.1 | 12.4 | 20.1 | 7.1 | 2.9 | 2.6 | 4.3 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Respons Analyse | VG | 2020-11-25 | 2020-11-30 | N | 1000 | N/A | 0.1 | 22.9 | 20.3 | 10.9 | 20.5 | 8.1 | 4.1 | 3.8 | 4.5 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2
Kantar TNS | TV2 | 2020-11-24 | 2020-11-30 | N | 984 | 81.0 | 0.1 | 20.2 | 20.4 | 8.8 | 22.1 | 8.1 | 4.0 | 3.3 | 4.0 | 6.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Sentio | Amedia and Nettavisen | 2020-11-24 | 2020-11-29 | N | 1000 | N/A | 0.1 | 26.5 | 22.4 | 8.8 | 18.4 | 7.0 | 2.9 | 3.4 | 4.0 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Ipsos MMI | Dagbladet | 2020-11-16 | 2020-11-18 | N | 1000 | 70.2 | 0.1 | 20.4 | 21.5 | 11.9 | 18.6 | 7.4 | 4.6 | 3.4 | 5.3 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Norstat | Aftenposten and NRK | 2020-11-09 | 2020-11-15 | N | 952 | N/A | 0.1 | 21.9 | 20.9 | 12.6 | 19.3 | 7.4 | 3.0 | 2.9 | 4.2 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2020-11-03 | 2020-11-09 | N | 969 | N/A | 0.1 | 24.6 | 20.4 | 10.9 | 17.8 | 8.1 | 3.4 | 4.2 | 5.0 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
Norfakta | Klassekampen and Nationen | 2020-11-03 | 2020-11-04 | N | 1000 | N/A | 0.1 | 24.7 | 23.4 | 11.2 | 17.7 | 6.7 | 2.5 | 3.4 | 4.0 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Sentio | Amedia and Nettavisen | 2020-10-27 | 2020-11-03 | N | 1000 | N/A | 0.1 | 25.0 | 21.9 | 13.4 | 16.4 | 7.6 | 3.0 | 4.2 | 3.5 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Respons Analyse | VG | 2020-10-28 | 2020-10-31 | N | 1000 | N/A | 0.1 | 21.6 | 22.0 | 13.9 | 18.9 | 5.7 | 3.9 | 3.5 | 4.9 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
Kantar TNS | TV2 | 2020-10-26 | 2020-10-30 | N | 986 | 79.2 | 0.1 | 22.1 | 20.5 | 11.5 | 19.8 | 7.8 | 4.1 | 2.8 | 4.0 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Norstat | Aftenposten and NRK | 2020-10-20 | 2020-10-25 | N | 942 | 75.0 | 0.1 | 25.2 | 23.5 | 12.3 | 14.9 | 7.9 | 3.3 | 3.3 | 4.3 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Ipsos MMI | Dagbladet | 2020-10-19 | 2020-10-21 | N | 1000 | 72.6 | 0.1 | 22.3 | 19.5 | 12.7 | 17.8 | 6.3 | 2.6 | 3.7 | 4.7 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.0
Norstat | Aftenposten and NRK | 2020-10-12 | 2020-10-18 | N | 962 | N/A | 0.1 | 24.3 | 23.5 | 13.2 | 16.6 | 6.0 | 3.0 | 3.4 | 3.7 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Sentio | Amedia and Nettavisen | 2020-10-06 | 2020-10-12 | N | 1000 | N/A | 0.1 | 23.6 | 20.8 | 13.5 | 19.8 | 6.6 | 3.3 | 3.5 | 4.2 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Norfakta | Klassekampen and Nationen | 2020-10-06 | 2020-10-07 | N | 1001 | 77.0 | 0.1 | 22.9 | 21.0 | 13.1 | 17.0 | 6.6 | 3.9 | 3.4 | 5.6 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2020-09-29 | 2020-10-04 | N | 955 | N/A | 0.1 | 27.4 | 22.0 | 12.5 | 14.2 | 7.3 | 4.2 | 2.9 | 3.1 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Kantar TNS | TV2 | 2020-09-28 | 2020-10-02 | N | 974 | 73.2 | 0.1 | 24.0 | 18.4 | 12.8 | 16.2 | 7.2 | 4.3 | 5.1 | 4.7 | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Respons Analyse | VG | 2020-09-28 | 2020-09-30 | N | 1001 | N/A | 0.1 | 26.5 | 22.7 | 11.6 | 14.0 | 8.1 | 3.6 | 3.1 | 4.6 | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
Norstat | Aftenposten and NRK | 2020-09-21 | 2020-09-27 | N | 956 | 72.8 | 0.1 | 24.1 | 21.7 | 14.4 | 13.1 | 7.1 | 3.6 | 3.0 | 4.9 | 5.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Ipsos MMI | Dagbladet | 2020-09-21 | 2020-09-25 | N | 713 | N/A | 0.1 | 22.7 | 22.4 | 13.9 | 15.2 | 8.4 | 3.6 | 4.6 | 3.5 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Norstat | Aftenposten and NRK | 2020-09-14 | 2020-09-20 | N | 948 | N/A | 0.1 | 25.3 | 22.6 | 13.3 | 14.3 | 7.8 | 3.2 | 4.1 | 4.2 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Sentio | Amedia and Nettavisen | 2020-09-08 | 2020-09-14 | N | 1000 | N/A | 0.1 | 24.8 | 21.8 | 14.7 | 14.6 | 7.2 | 2.6 | 3.5 | 4.3 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2020-09-01 | 2020-09-07 | N | 975 | N/A | 0.1 | 27.0 | 19.9 | 10.3 | 16.0 | 6.9 | 2.5 | 3.9 | 7.5 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Norfakta | Klassekampen and Nationen | 2020-09-01 | 2020-09-02 | N | 1000 | 78.0 | 0.1 | 25.6 | 24.7 | 12.8 | 13.4 | 8.1 | 2.9 | 4.1 | 3.5 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
Kantar TNS | TV2 | 2020-08-25 | 2020-09-01 | N | 1182 | 79.6 | 0.1 | 19.6 | 24.7 | 11.4 | 13.6 | 9.6 | 3.2 | 3.9 | 5.7 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Respons Analyse | VG | 2020-08-26 | 2020-08-31 | N | 1000 | N/A | 0.1 | 24.8 | 24.3 | 11.5 | 14.7 | 6.8 | 4.0 | 3.3 | 4.5 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Norstat | Aftenposten and NRK | 2020-08-24 | 2020-08-31 | N | 944 | N/A | 0.1 | 28.3 | 24.0 | 11.4 | 12.2 | 8.1 | 3.4 | 2.8 | 4.1 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Norstat | Aftenposten and NRK | 2020-08-17 | 2020-08-23 | N | 952 | N/A | 0.1 | 26.8 | 24.0 | 9.7 | 14.0 | 7.9 | 3.2 | 3.7 | 4.9 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Ipsos MMI | Dagbladet | 2020-08-17 | 2020-08-19 | N | 1000 | 71.5 | 0.1 | 24.3 | 24.8 | 11.7 | 13.9 | 7.1 | 3.1 | 3.5 | 5.8 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Sentio | Amedia and Nettavisen | 2020-08-11 | 2020-08-16 | N | 1000 | N/A | 0.1 | 28.7 | 23.1 | 12.8 | 12.6 | 8.0 | 2.1 | 2.6 | 3.9 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Respons Analyse | VG | 2020-08-06 | 2020-08-11 | N | 1001 | N/A | 0.1 | 23.0 | 25.5 | 10.4 | 14.4 | 7.6 | 3.6 | 3.9 | 5.2 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Norstat | Aftenposten and NRK | 2020-08-04 | 2020-08-10 | N | 950 | N/A | 0.1 | 24.7 | 24.2 | 13.0 | 13.8 | 6.8 | 2.8 | 4.1 | 4.7 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Kantar TNS | TV2 | 2020-08-04 | 2020-08-07 | N | 980 | 76.7 | 0.1 | 25.0 | 25.4 | 9.4 | 15.0 | 7.5 | 2.3 | 4.5 | 5.2 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
Norfakta | Klassekampen and Nationen | 2020-08-04 | 2020-08-05 | N | 1001 | N/A | 0.1 | 23.5 | 26.6 | 12.5 | 13.2 | 7.2 | 2.5 | 3.6 | 6.1 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.7
InFact | Avisa Nordland, Bergensavisen, iFinnmark and Nidaros | 2020-08-04 | 2020-08-04 | N | 1024 | N/A | 0.1 | 25.1 | 21.8 | 9.3 | 14.1 | 7.3 | 3.7 | 5.2 | 5.4 | 5.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2020-07-29 | 2020-08-03 | N | 967 | 72.0 | 0.1 | 27.7 | 24.6 | 9.8 | 15.1 | 6.1 | 3.1 | 3.3 | 4.6 | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Norfakta | Klassekampen and Nationen | 2020-07-07 | 2020-07-08 | N | 1000 | N/A | 0.1 | 23.9 | 27.3 | 10.5 | 13.7 | 6.9 | 3.5 | 3.8 | 4.9 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2
Kantar TNS | TV2 | 2020-06-24 | 2020-06-30 | N | 985 | 78.6 | 0.1 | 27.7 | 20.8 | 10.6 | 12.7 | 8.1 | 2.9 | 3.9 | 5.2 | 5.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Ipsos MMI | Dagbladet | 2020-06-22 | 2020-06-24 | N | 1000 | N/A | 0.1 | 25.2 | 25.0 | 11.0 | 13.3 | 8.2 | 3.1 | 3.2 | 5.9 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Norstat | Aftenposten and NRK | 2020-06-15 | 2020-06-21 | N | 1000 | N/A | 0.1 | 24.8 | 24.9 | 11.5 | 13.0 | 6.8 | 2.7 | 4.3 | 4.8 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Sentio | Amedia and Nettavisen | 2020-06-09 | 2020-06-13 | N | 1000 | N/A | 0.1 | 24.2 | 24.2 | 11.3 | 14.0 | 6.9 | 4.4 | 2.5 | 5.4 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Opinion Perduco | N/A | 2020-06-02 | 2020-06-08 | N | 969 | 72.0 | 0.1 | 24.4 | 25.2 | 10.4 | 14.6 | 7.2 | 3.5 | 3.9 | 5.6 | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
Respons Analyse | VG | 2020-06-02 | 2020-06-04 | N | 1002 | N/A | 0.1 | 24.2 | 23.5 | 12.4 | 14.5 | 6.8 | 3.1 | 3.7 | 5.3 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Norfakta | Klassekampen and Nationen | 2020-06-02 | 2020-06-03 | N | 1002 | N/A | 0.1 | 24.1 | 23.5 | 12.3 | 14.6 | 7.2 | 3.0 | 4.5 | 3.9 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Norstat | Aftenposten and NRK | 2020-05-26 | 2020-06-01 | N | 949 | 72.9 | 0.1 | 25.8 | 23.4 | 12.0 | 14.6 | 6.9 | 2.4 | 3.4 | 5.6 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Kantar TNS | TV2 | 2020-05-25 | 2020-05-29 | N | 982 | 78.6 | 0.1 | 27.3 | 23.5 | 11.9 | 13.8 | 7.3 | 1.6 | 3.5 | 4.8 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Ipsos MMI | Dagbladet | 2020-05-25 | 2020-05-28 | N | 905 | 77.6 | 0.1 | 25.4 | 25.5 | 10.0 | 13.0 | 7.6 | 3.6 | 2.6 | 6.2 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Norstat | Aftenposten and NRK | 2020-05-19 | 2020-05-25 | N | 957 | N/A | 0.1 | 26.2 | 25.8 | 12.1 | 15.0 | 5.5 | 2.0 | 3.2 | 5.0 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.6
Sentio | Amedia and Nettavisen | 2020-05-12 | 2020-05-16 | N | 1000 | N/A | 0.1 | 26.0 | 25.5 | 11.0 | 13.5 | 7.1 | 3.3 | 4.0 | 4.4 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Opinion Perduco | N/A | 2020-05-05 | 2020-05-10 | N | 970 | N/A | 0.1 | 28.3 | 26.7 | 9.6 | 12.0 | 6.6 | 2.7 | 3.6 | 5.6 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
Norfakta | Klassekampen and Nationen | 2020-05-05 | 2020-05-06 | N | 1000 | 81.0 | 0.1 | 26.9 | 25.1 | 9.1 | 13.5 | 8.0 | 3.3 | 4.1 | 4.4 | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
Respons Analyse | VG | 2020-04-30 | 2020-05-05 | N | 1000 | N/A | 0.1 | 26.5 | 27.0 | 9.4 | 14.7 | 6.2 | 3.0 | 3.6 | 5.0 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Norstat | Aftenposten and NRK | 2020-04-27 | 2020-05-04 | N | 957 | N/A | 0.1 | 26.5 | 24.7 | 10.1 | 15.3 | 6.6 | 3.1 | 3.2 | 5.2 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Kantar TNS | TV2 | 2020-04-27 | 2020-04-29 | N | 988 | N/A | 0.1 | 28.0 | 26.8 | 8.0 | 14.6 | 5.6 | 3.4 | 3.0 | 3.9 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Norstat | Aftenposten and NRK | 2020-04-20 | 2020-04-26 | N | 955 | N/A | 0.1 | 26.8 | 24.6 | 11.4 | 15.6 | 6.6 | 3.3 | 3.2 | 3.9 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.9
Ipsos MMI | Dagbladet | 2020-04-20 | 2020-04-22 | N | 1000 | 72.4 | 0.1 | 25.3 | 24.5 | 9.7 | 14.2 | 8.5 | 3.1 | 4.1 | 4.2 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
Sentio | Amedia and Nettavisen | 2020-04-14 | 2020-04-20 | N | 1000 | N/A | 0.1 | 26.7 | 24.5 | 12.0 | 14.0 | 6.5 | 3.3 | 3.7 | 4.9 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Opinion Perduco | N/A | 2020-03-31 | 2020-04-05 | N | 1000 | N/A | 0.1 | 27.3 | 25.7 | 11.6 | 13.8 | 5.9 | 2.9 | 3.0 | 4.7 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Norfakta | Klassekampen and Nationen | 2020-03-31 | 2020-04-01 | N | 1000 | N/A | 0.1 | 25.9 | 23.3 | 11.1 | 14.7 | 9.1 | 3.3 | 4.1 | 5.0 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0
Respons Analyse | VG | 2020-03-26 | 2020-04-01 | N | 1000 | N/A | 0.1 | 25.2 | 26.7 | 12.4 | 13.5 | 7.3 | 2.8 | 3.2 | 4.2 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2
Kantar TNS | TV2 | 2020-03-25 | 2020-03-31 | N | 980 | 74.1 | 0.1 | 24.6 | 24.8 | 12.3 | 14.8 | 7.0 | 2.3 | 4.1 | 4.6 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
Norstat | Aftenposten and NRK | 2020-03-23 | 2020-03-29 | N | 953 | 75.7 | 0.1 | 24.9 | 25.7 | 12.0 | 15.3 | 7.2 | 3.6 | 2.8 | 3.7 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Norstat | Aftenposten and NRK | 2020-03-16 | 2020-03-23 | N | 952 | N/A | 0.1 | 23.3 | 26.7 | 12.7 | 14.6 | 7.6 | 2.2 | 3.2 | 3.8 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Ipsos MMI | Dagbladet | 2020-03-18 | 2020-03-20 | N | 1000 | 64.9 | 0.1 | 20.8 | 24.9 | 11.4 | 17.4 | 9.0 | 2.6 | 3.7 | 4.4 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Sentio | Amedia and Nettavisen | 2020-03-10 | 2020-03-16 | N | 1000 | N/A | 0.1 | 18.8 | 24.3 | 13.0 | 17.5 | 7.1 | 3.4 | 3.4 | 7.3 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Opinion Perduco | N/A | 2020-03-03 | 2020-03-09 | N | 970 | N/A | 0.1 | 18.8 | 24.0 | 13.5 | 18.3 | 6.9 | 3.5 | 3.1 | 6.7 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2
Norfakta | Klassekampen and Nationen | 2020-03-03 | 2020-03-04 | N | 1000 | N/A | 0.1 | 20.6 | 25.8 | 12.0 | 15.9 | 7.0 | 2.5 | 2.9 | 7.0 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Respons Analyse | VG | 2020-02-27 | 2020-03-02 | N | 1000 | N/A | 0.1 | 17.9 | 24.9 | 14.6 | 16.7 | 7.2 | 3.3 | 3.5 | 5.1 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Norstat | Aftenposten and NRK | 2020-02-24 | 2020-03-02 | N | 949 | 72.7 | 0.1 | 19.9 | 23.7 | 13.2 | 16.4 | 8.4 | 2.7 | 4.1 | 4.9 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Kantar TNS | TV2 | 2020-02-24 | 2020-02-28 | N | 961 | 78.4 | 0.1 | 19.8 | 21.5 | 13.7 | 17.6 | 8.5 | 3.7 | 3.0 | 5.6 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Norstat | Vårt Land | 2020-02-17 | 2020-02-23 | N | N/A | N/A | 0.1 | 18.9 | 24.0 | 14.3 | 15.7 | 6.5 | 4.4 | 3.5 | 6.3 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Ipsos MMI | Dagbladet | 2020-02-17 | 2020-02-19 | N | 1000 | 72.6 | 0.1 | 18.8 | 25.8 | 14.2 | 14.8 | 7.1 | 3.5 | 3.6 | 5.4 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
Sentio | Amedia and Nettavisen | 2020-02-11 | 2020-02-17 | N | N/A | N/A | 0.1 | 19.7 | 23.6 | 14.6 | 14.1 | 7.2 | 3.8 | 3.9 | 6.8 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2020-02-04 | 2020-02-10 | N | 969 | N/A | 0.1 | 19.4 | 25.1 | 15.1 | 15.2 | 6.5 | 4.2 | 3.5 | 4.6 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2
Norfakta | Klassekampen and Nationen | 2020-02-04 | 2020-02-05 | N | 1000 | N/A | 0.1 | 19.4 | 22.2 | 14.9 | 15.9 | 7.6 | 4.4 | 4.5 | 5.2 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
Respons Analyse | VG | 2020-01-30 | 2020-02-03 | N | 1002 | N/A | 0.1 | 19.9 | 24.9 | 15.3 | 13.9 | 6.7 | 2.7 | 4.2 | 5.5 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Norstat | Aftenposten and NRK | 2020-01-27 | 2020-02-02 | N | 952 | N/A | 0.1 | 18.3 | 23.2 | 16.0 | 17.3 | 6.1 | 3.3 | 4.4 | 4.3 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Kantar TNS | TV2 | 2020-01-27 | 2020-01-31 | N | 990 | 80.3 | 0.1 | 17.8 | 24.2 | 15.7 | 15.0 | 7.7 | 4.0 | 4.3 | 5.9 | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Sentio | Amedia and Nettavisen | 2020-01-24 | 2020-01-27 | N | 1007 | N/A | 0.1 | 16.2 | 25.6 | 17.5 | 12.5 | 7.7 | 2.0 | 3.9 | 4.9 | 6.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
